name,x,y,avg_ctet_2018_2020,type,hs,ind3_4,ind34,ind50,ind100,ind500,ind1000,ind1500
299-W10-1,566663.096,136734.565,160,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W10-14,566017.194,136608.895,0.453333333,MONITORING,UU/MU,1,1,1,1,1,1,1
299-W10-24,566885.426,136798.78,352,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W10-26,566843.396,136400.594,90.9,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W10-27,566843.969,136441.778,91.1875,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W10-28,566701.55,136709.93,190,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W10-29,566082.98,136828.74,4.4625,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W10-30,566082.78,136739.33,24.675,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W10-31,566266.44,136968.34,7.638333333,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W11-13,567099.363,136424.033,132.5,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-18,567181.916,137161.484,59.568,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W11-33Q,567184.869,136844.366,57.5,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W11-39,566908.383,136779.917,240,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-40,566926.838,136709.666,171,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-41,566935.51,136677.781,162,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-42,566920.435,136745.665,136,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-45,566992.84,136775.64,717.5,MONITORING,UU/MU,0,0,0,0,0,1,1
299-W11-47,566933.82,136680.7,497,MONITORING,UU/MU,0,0,0,0,1,1,1
299-W11-48,566881.97,136846.18,779.3333333,MONITORING,UU/MU,0,0,0,0,0,1,1
299-W11-87,568141.08,136608.7,2000,MONITORING,UU/MU,0,0,0,0,0,0,0
299-W13-1,568148.74,136048.6,1453.333333,MONITORING,UU/MU,0,0,0,0,0,0,1
299-W13-2P,568832.59,135819.18,68.5,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W13-2Q,568832.59,135819.18,42.75,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W14-11,566901.69,136287.62,286.6666667,MONITORING,UU/MU,0,0,0,0,1,1,1
