pw_id,row,col,x,y,outfile
PW-0001,39,32,564050.0,138950.0,data\breakthroughcurves\PW-0001_r0039_c0032.png
PW-0006,39,37,564550.0,138950.0,data\breakthroughcurves\PW-0006_r0039_c0037.png
PW-0011,39,42,565050.0,138950.0,data\breakthroughcurves\PW-0011_r0039_c0042.png
PW-0016,39,47,565550.0,138950.0,data\breakthroughcurves\PW-0016_r0039_c0047.png
PW-0021,39,52,566050.0,138950.0,data\breakthroughcurves\PW-0021_r0039_c0052.png
PW-0026,39,57,566550.0,138950.0,data\breakthroughcurves\PW-0026_r0039_c0057.png
PW-0031,39,62,567050.0,138950.0,data\breakthroughcurves\PW-0031_r0039_c0062.png
PW-0036,39,67,567550.0,138950.0,data\breakthroughcurves\PW-0036_r0039_c0067.png
PW-0041,39,72,568050.0,138950.0,data\breakthroughcurves\PW-0041_r0039_c0072.png
PW-0046,39,77,568550.0,138950.0,data\breakthroughcurves\PW-0046_r0039_c0077.png
PW-0051,39,82,569050.0,138950.0,data\breakthroughcurves\PW-0051_r0039_c0082.png
PW-0056,39,87,569550.0,138950.0,data\breakthroughcurves\PW-0056_r0039_c0087.png
PW-0061,39,92,570050.0,138950.0,data\breakthroughcurves\PW-0061_r0039_c0092.png
PW-0066,39,97,570550.0,138950.0,data\breakthroughcurves\PW-0066_r0039_c0097.png
PW-0071,39,102,571050.0,138950.0,data\breakthroughcurves\PW-0071_r0039_c0102.png
PW-0076,39,107,571550.0,138950.0,data\breakthroughcurves\PW-0076_r0039_c0107.png
PW-0081,39,112,572050.0,138950.0,data\breakthroughcurves\PW-0081_r0039_c0112.png
PW-0086,40,35,564350.0,138850.0,data\breakthroughcurves\PW-0086_r0040_c0035.png
PW-0091,40,40,564850.0,138850.0,data\breakthroughcurves\PW-0091_r0040_c0040.png
PW-0096,40,45,565350.0,138850.0,data\breakthroughcurves\PW-0096_r0040_c0045.png
PW-0101,40,50,565850.0,138850.0,data\breakthroughcurves\PW-0101_r0040_c0050.png
PW-0106,40,55,566350.0,138850.0,data\breakthroughcurves\PW-0106_r0040_c0055.png
PW-0111,40,60,566850.0,138850.0,data\breakthroughcurves\PW-0111_r0040_c0060.png
PW-0116,40,65,567350.0,138850.0,data\breakthroughcurves\PW-0116_r0040_c0065.png
PW-0121,40,70,567850.0,138850.0,data\breakthroughcurves\PW-0121_r0040_c0070.png
PW-0126,40,75,568350.0,138850.0,data\breakthroughcurves\PW-0126_r0040_c0075.png
PW-0131,40,80,568850.0,138850.0,data\breakthroughcurves\PW-0131_r0040_c0080.png
PW-0136,40,85,569350.0,138850.0,data\breakthroughcurves\PW-0136_r0040_c0085.png
PW-0141,40,90,569850.0,138850.0,data\breakthroughcurves\PW-0141_r0040_c0090.png
PW-0146,40,95,570350.0,138850.0,data\breakthroughcurves\PW-0146_r0040_c0095.png
PW-0151,40,100,570850.0,138850.0,data\breakthroughcurves\PW-0151_r0040_c0100.png
PW-0156,40,105,571350.0,138850.0,data\breakthroughcurves\PW-0156_r0040_c0105.png
PW-0161,40,110,571850.0,138850.0,data\breakthroughcurves\PW-0161_r0040_c0110.png
PW-0166,41,33,564150.0,138750.0,data\breakthroughcurves\PW-0166_r0041_c0033.png
PW-0171,41,38,564650.0,138750.0,data\breakthroughcurves\PW-0171_r0041_c0038.png
PW-0176,41,43,565150.0,138750.0,data\breakthroughcurves\PW-0176_r0041_c0043.png
PW-0181,41,48,565650.0,138750.0,data\breakthroughcurves\PW-0181_r0041_c0048.png
PW-0186,41,53,566150.0,138750.0,data\breakthroughcurves\PW-0186_r0041_c0053.png
PW-0191,41,58,566650.0,138750.0,data\breakthroughcurves\PW-0191_r0041_c0058.png
PW-0196,41,63,567150.0,138750.0,data\breakthroughcurves\PW-0196_r0041_c0063.png
PW-0201,41,68,567650.0,138750.0,data\breakthroughcurves\PW-0201_r0041_c0068.png
PW-0206,41,73,568150.0,138750.0,data\breakthroughcurves\PW-0206_r0041_c0073.png
PW-0211,41,78,568650.0,138750.0,data\breakthroughcurves\PW-0211_r0041_c0078.png
PW-0216,41,83,569150.0,138750.0,data\breakthroughcurves\PW-0216_r0041_c0083.png
PW-0221,41,88,569650.0,138750.0,data\breakthroughcurves\PW-0221_r0041_c0088.png
PW-0226,41,93,570150.0,138750.0,data\breakthroughcurves\PW-0226_r0041_c0093.png
PW-0231,41,98,570650.0,138750.0,data\breakthroughcurves\PW-0231_r0041_c0098.png
PW-0236,41,103,571150.0,138750.0,data\breakthroughcurves\PW-0236_r0041_c0103.png
PW-0241,41,108,571650.0,138750.0,data\breakthroughcurves\PW-0241_r0041_c0108.png
PW-0246,41,113,572150.0,138750.0,data\breakthroughcurves\PW-0246_r0041_c0113.png
PW-0251,42,36,564450.0,138650.0,data\breakthroughcurves\PW-0251_r0042_c0036.png
PW-0256,42,41,564950.0,138650.0,data\breakthroughcurves\PW-0256_r0042_c0041.png
PW-0261,42,46,565450.0,138650.0,data\breakthroughcurves\PW-0261_r0042_c0046.png
PW-0266,42,51,565950.0,138650.0,data\breakthroughcurves\PW-0266_r0042_c0051.png
PW-0271,42,56,566450.0,138650.0,data\breakthroughcurves\PW-0271_r0042_c0056.png
PW-0276,42,61,566950.0,138650.0,data\breakthroughcurves\PW-0276_r0042_c0061.png
PW-0281,42,66,567450.0,138650.0,data\breakthroughcurves\PW-0281_r0042_c0066.png
PW-0286,42,71,567950.0,138650.0,data\breakthroughcurves\PW-0286_r0042_c0071.png
PW-0291,42,76,568450.0,138650.0,data\breakthroughcurves\PW-0291_r0042_c0076.png
PW-0296,42,81,568950.0,138650.0,data\breakthroughcurves\PW-0296_r0042_c0081.png
PW-0301,42,86,569450.0,138650.0,data\breakthroughcurves\PW-0301_r0042_c0086.png
PW-0306,42,91,569950.0,138650.0,data\breakthroughcurves\PW-0306_r0042_c0091.png
PW-0311,42,96,570450.0,138650.0,data\breakthroughcurves\PW-0311_r0042_c0096.png
PW-0316,42,101,570950.0,138650.0,data\breakthroughcurves\PW-0316_r0042_c0101.png
PW-0321,42,106,571450.0,138650.0,data\breakthroughcurves\PW-0321_r0042_c0106.png
PW-0326,42,111,571950.0,138650.0,data\breakthroughcurves\PW-0326_r0042_c0111.png
PW-0331,43,34,564250.0,138550.0,data\breakthroughcurves\PW-0331_r0043_c0034.png
PW-0336,43,39,564750.0,138550.0,data\breakthroughcurves\PW-0336_r0043_c0039.png
PW-0341,43,44,565250.0,138550.0,data\breakthroughcurves\PW-0341_r0043_c0044.png
