NAME,VAL,TYPE,EVENT_WL,EVENT_CHEM,COLLECTION_PURPOSE,CP_note,XCOORDS,YCOORDS,ZCOORDS,GW_AREA_OF_INTEREST,ELE_m_df4,Easting,Northing,ELE_m_new,Concentration,Type,Elev_flag,Unnamed: 7,ELE_m,Nearby_Wells,index_right,ID,I,J,HSU,NAME_norm,Final_Assignment
299-W11-106,1610.0,EXTRACTION,,na,,,568036.76,136481.53,224.191,200-ZP,104.762788,568036.76,136481.53,104.76,1610.0,Extraction,ECF_data_2024,,104.76,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-106,1610.0,EXTRACTION,,na,,,568036.76,136481.53,224.191,200-ZP,104.762788,568036.76,136481.53,104.76,1610.0,Extraction,ECF_data_2024,,104.76,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-106,1160.0,EXTRACTION,,na,PD,"Corrected HEIS data pull, post-development sample",568036.76,136481.53,224.191,200-ZP,104.762788,,,,,,Calc,,104.762788,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-106,1160.0,EXTRACTION,,na,PD,"Corrected HEIS data pull, post-development sample",568036.76,136481.53,224.191,200-ZP,104.762788,,,,,,Calc,,104.762788,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-107,164.0,EXTRACTION,,na,,,567573.99,136583.6,220.427,200-ZP,100.197584,567573.99,136583.6,100.2,164.0,Extraction,ECF_data_2024,,100.2,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-107,164.0,EXTRACTION,,na,,,567573.99,136583.6,220.427,200-ZP,100.197584,567573.99,136583.6,100.2,164.0,Extraction,ECF_data_2024,,100.2,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-107,82.9,EXTRACTION,,na,PD,"Corrected HEIS data pull, post-development sample",567573.99,136583.6,220.427,200-ZP,100.197584,,,,,,Calc,,100.197584,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-107,82.9,EXTRACTION,,na,PD,"Corrected HEIS data pull, post-development sample",567573.99,136583.6,220.427,200-ZP,100.197584,,,,,,Calc,,100.197584,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-116,621.0,EXTRACTION,,na,,,567928.757,136407.124,223.02,200-ZP,94.231516,567928.0,136408.0,70.58,621.0,Characterizationa,ECF_data_2024,,70.58,['299-W11-116'],1556.0,1557.0,27.0,23.0,0_bslt,299-W11-116,UU/MU
299-W11-49,332.0,EXTRACTION,,na,,,567361.5,135924.72,216.771,200-ZP,112.377,567361.5,135924.72,112.38,332.0,Extraction,ECF_data_2024,,112.38,['299-W11-49'],1846.0,1847.0,32.0,18.0,5_rlm,299-W11-49,UU/MU
299-W11-49,332.0,EXTRACTION,,na,,,567361.5,135924.72,216.771,200-ZP,112.377,567361.5,135924.72,112.38,332.0,Extraction,ECF_data_2024,,112.38,['299-W11-49'],1846.0,1847.0,32.0,18.0,5_rlm,299-W11-49,UU/MU
299-W11-50,204.0,EXTRACTION,,na,,,566966.27,136756.64,212.974,200-ZP,106.99646,566966.27,136756.64,107.0,204.0,Extraction,ECF_data_2024,,107.0,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-50,204.0,EXTRACTION,,na,,,566966.27,136756.64,212.974,200-ZP,106.99646,566966.27,136756.64,107.0,204.0,Extraction,ECF_data_2024,,107.0,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-90,423.0,EXTRACTION,,na,,,567306.79,136519.66,218.905,200-ZP,100.1884,567306.79,136519.66,100.19,423.0,Extraction,ECF_data_2024,,100.19,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-90,423.0,EXTRACTION,,na,,,567306.79,136519.66,218.905,200-ZP,100.1884,567306.79,136519.66,100.19,423.0,Extraction,ECF_data_2024,,100.19,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-92,13.7,EXTRACTION,,na,,,566692.86,136351.78,205.314,200-ZP,106.28,566692.86,136351.78,106.28,13.7,Extraction,ECF_data_2024,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-92,13.7,EXTRACTION,,na,,,566692.86,136351.78,205.314,200-ZP,106.28,566692.86,136351.78,106.28,13.7,Extraction,ECF_data_2024,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-96,317.0,EXTRACTION,,na,,,567774.83,136772.24,221.507,200-ZP,105.04192,567774.83,136772.24,105.04,317.0,Extraction,ECF_data_2024,,105.04,['299-W11-96'],1319.0,1320.0,23.0,22.0,4_rwia,299-W11-96,UU/MU
299-W11-96,317.0,EXTRACTION,,na,,,567774.83,136772.24,221.507,200-ZP,105.04192,567774.83,136772.24,105.04,317.0,Extraction,ECF_data_2024,,105.04,['299-W11-96'],1319.0,1320.0,23.0,22.0,4_rwia,299-W11-96,UU/MU
299-W11-97,265.0,EXTRACTION,,na,,,568317.57,135875.91,224.365,200-UP,94.618468,568317.57,135875.91,94.62,265.0,Extraction,ECF_data_2024,,94.62,['299-W11-97'],1855.0,1856.0,32.0,27.0,5_rlm,299-W11-97,UU/MU
299-W12-2,567.0,EXTRACTION,,na,,,568312.67,136610.25,224.355,200-ZP,107.800304,568312.67,136610.25,107.8,567.0,Extraction,ECF_data_2024,,107.8,['299-W12-2'],1442.0,1443.0,25.0,27.0,5_rlm,299-W12-2,UU/MU
299-W12-3,326.0,EXTRACTION,,na,,,568321.53,136998.09,225.057,200-ZP,103.0471,568321.53,136998.09,103.05,326.0,Extraction,ECF_data_2024,,103.05,['299-W12-3'],1206.0,1207.0,21.0,27.0,4_rwia,299-W12-3,UU/MU
299-W12-4,472.0,EXTRACTION,,na,,,568327.41,136363.65,224.405,200-ZP,92.78676,,,,,,Calc,,92.78676,['299-W12-4'],1560.0,1561.0,27.0,27.0,4_rwia,299-W12-4,UU/MU
299-W12-5,947.0,EXTRACTION,,na,,,568101.7,136735.54,222.881,200-ZP,102.247004,568101.7,136735.54,102.25,947.0,Extraction,ECF_data_2024,,102.25,['299-W12-5'],1381.0,1382.0,24.0,25.0,4_rwia,299-W12-5,UU/MU
299-W12-6,783.0,EXTRACTION,,na,PD,"Corrected HEIS data pull, post-development sample",568139.873,136521.266,223.446,200-ZP,96.333828,568139.87,136521.27,115.38,783.0,Characterizationa,ECF_data_2024,,115.38,['299-W12-6'],1499.0,1500.0,26.0,25.0,5_rlm,299-W12-6,LU/CR
