NAME_norm,CTET_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W10-1,48.7,566663.096,136734.565,299-W10-1,UU/MU
299-W10-14,0.33,566017.194,136608.895,299-W10-14,LU/CR
299-W10-200,10.28,566570.23,136463.41,299-W10-200,UU/MU
299-W10-201,0.38,566017.2,136957.24,299-W10-201,UU/MU
299-W10-201,0.38,566017.2,136957.24,299-W10-201,UU/MU
299-W10-201,0.38,566017.2,136957.24,299-W10-201,UU/MU
299-W10-202,1.43,566015.96,136906.28,299-W10-202,UU/MU
299-W10-202,1.43,566015.96,136906.28,299-W10-202,UU/MU
299-W10-202,1.43,566015.96,136906.28,299-W10-202,UU/MU
299-W10-203,10.55,566018.8,136710.81,299-W10-203,UU/MU
299-W10-203,10.55,566018.8,136710.81,299-W10-203,UU/MU
299-W10-203,10.55,566018.8,136710.81,299-W10-203,UU/MU
299-W10-204,8.37,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,8.37,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,8.37,566256.17,136901.49,299-W10-204,UU/MU
299-W10-205,37.9,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,37.9,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,37.9,566785.69,137184.87,299-W10-205,UU/MU
299-W10-24,88.27,566885.426,136798.78,299-W10-24,UU/MU
299-W10-26,46.65,566843.396,136400.594,299-W10-26,UU/MU
299-W10-27,22.28,566843.969,136441.778,299-W10-27,UU/MU
299-W10-28,98.75,566701.55,136709.93,299-W10-28,UU/MU
299-W10-29,7.0,566082.98,136828.74,299-W10-29,UU/MU
299-W10-30,16.15,566082.78,136739.33,299-W10-30,UU/MU
299-W10-31,5.63,566266.44,136968.34,299-W10-31,UU/MU
299-W10-33,0.57,566772.75,136610.19,299-W10-33,UU/MU
299-W11-100,1260.0,567605.826,136490.562,299-W11-100,LU/CR
299-W11-100,1260.0,567605.826,136490.562,299-W11-100,LU/CR
299-W11-18,4.18,567181.916,137161.484,299-W11-18,UU/MU
299-W11-33Q,30.0,567184.869,136844.366,299-W11-33Q,UU/MU
299-W11-39,115.73,566908.383,136779.917,299-W11-39,UU/MU
299-W11-40,67.86,566926.838,136709.666,299-W11-40,UU/MU
299-W11-41,58.53,566935.51,136677.781,299-W11-41,UU/MU
299-W11-42,56.8,566920.435,136745.665,299-W11-42,UU/MU
299-W11-43,40.0,567269.74,136971.04,299-W11-43,LU/CR
299-W11-45,229.0,566992.84,136775.64,299-W11-45,UU/MU
299-W11-46,145.0,566914.86,136773.27,299-W11-46,UU/MU
299-W11-47,95.23,566933.82,136680.7,299-W11-47,UU/MU
299-W11-48,146.0,566881.97,136846.18,299-W11-48,LU/CR
299-W11-87,1485.0,568141.08,136608.7,299-W11-87,LU/CR
299-W11-88,437.0,567874.67,137113.09,299-W11-88,LU/CR
299-W11-98,380.0,567596.33,136479.36,299-W11-98,LU/CR
299-W11-98,380.0,567596.33,136479.36,299-W11-98,LU/CR
299-W11-99,90.3,567615.778,136481.217,299-W11-99,LU/CR
299-W11-99,90.3,567615.778,136481.217,299-W11-99,LU/CR
299-W13-1,616.63,568148.74,136048.6,299-W13-1,UU/MU
299-W13-2P,67.3,568832.59,135819.18,299-W13-2P,UU/MU
299-W13-2Q,46.8,568832.59,135819.18,299-W13-2Q,UU/MU
299-W13-3,94.7,568846.25,135819.64,299-W13-3,LU/CR
299-W13-3,94.7,568846.25,135819.64,299-W13-3,LU/CR
299-W14-11,69.33,566901.69,136287.62,299-W14-11,UU/MU
299-W14-14,30.0,566898.386,136181.048,299-W14-14,UU/MU
299-W14-15,60.3,566899.685,136230.654,299-W14-15,UU/MU
299-W14-17,35.17,567006.773,136218.349,299-W14-17,UU/MU
299-W14-18,34.5,566897.47,136344.15,299-W14-18,UU/MU
299-W14-19,29.73,566898.6,136135.06,299-W14-19,UU/MU
299-W14-24,8.93,567161.35,135839.99,299-W14-24,UU/MU
299-W14-24,8.93,567161.35,135839.99,299-W14-24,LU/CR
299-W14-25,260.0,567169.051,135845.699,299-W14-25,UU/MU
299-W14-25,260.0,567169.051,135845.699,299-W14-25,UU/MU
299-W14-71,306.5,567733.43,135567.81,299-W14-71,LU/CR
299-W14-72,239.0,567328.44,135941.28,299-W14-72,LU/CR
299-W15-11,9.58,566412.296,136000.716,299-W15-11,UU/MU
299-W15-152,0.99,566309.4,135550.0,299-W15-152,UU/MU
299-W15-17,2.35,566306.891,135718.958,299-W15-17,LU/CR
299-W15-224,9.11,566307.89,135926.08,299-W15-224,UU/MU
299-W15-231,14.7,566484.84,136212.92,299-W15-231,UU/MU
299-W15-232,2.46,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,2.46,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,2.46,566090.046,135729.045,299-W15-232,UU/MU
299-W15-30,4.81,566304.617,135748.936,299-W15-30,UU/MU
299-W15-33,8.71,566433.21,135966.08,299-W15-33,UU/MU
299-W15-37,11.8,566716.468,135248.316,299-W15-37,UU/MU
299-W15-44,16.4,566685.02,136066.47,299-W15-44,UU/MU
299-W15-46,2.64,566752.23,135586.67,299-W15-46,UU/MU
299-W15-49,6.4,566307.2,135972.91,299-W15-49,UU/MU
299-W15-50,15.7,566793.47,135790.72,299-W15-50,UU/MU
299-W15-7,8.8,566675.883,135920.204,299-W15-7,UU/MU
299-W15-763,20.0,566809.207,136028.763,299-W15-763,UU/MU
299-W15-765,21.45,566697.02,136373.06,299-W15-765,UU/MU
299-W15-83,5.49,566304.52,135826.24,299-W15-83,UU/MU
299-W15-94,2.13,566307.58,135640.34,299-W15-94,UU/MU
299-W18-1,4.08,566421.515,135465.21,299-W18-1,UU/MU
299-W18-15,0.73,566380.033,134733.478,299-W18-15,UU/MU
299-W18-16,6.3,566605.05,135425.69,299-W18-16,UU/MU
299-W18-21,0.4,566097.7,134978.692,299-W18-21,UU/MU
299-W18-22,0.33,566088.632,134990.157,299-W18-22,LU/CR
299-W18-260,16.7,566862.54,135196.89,299-W18-260,UU/MU
299-W18-261,8.08,566625.427,135064.168,299-W18-261,UU/MU
299-W18-40,8.55,566723.29,134996.41,299-W18-40,UU/MU
299-W18-45,4.92,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,4.92,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,4.92,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,4.92,566213.05,134976.94,299-W18-45,UU/MU
299-W18-46,3.74,566333.51,135008.82,299-W18-46,UU/MU
299-W18-46,3.74,566333.51,135008.82,299-W18-46,UU/MU
299-W18-46,3.74,566333.51,135008.82,299-W18-46,UU/MU
299-W18-47,0.33,566103.44,134978.72,299-W18-47,UU/MU
299-W18-47,0.33,566103.44,134978.72,299-W18-47,UU/MU
299-W18-47,0.33,566103.44,134978.72,299-W18-47,UU/MU
299-W19-105,44.7,567565.15,134745.44,299-W19-105,UU/MU
299-W19-107,43.3,567997.87,135205.66,299-W19-107,UU/MU
299-W19-115,88.95,567371.99,135011.96,299-W19-115,UU/MU
299-W19-116,10.17,568510.19,135090.16,299-W19-116,UU/MU
299-W19-126,86.96,567397.26,135101.2,299-W19-126,UU/MU
299-W19-127,57.0,567036.73,135110.71,299-W19-127,UU/MU
299-W19-127,57.0,567036.73,135110.71,299-W19-127,UU/MU
299-W19-128,36.83,567002.55,135254.98,299-W19-128,UU/MU
299-W19-128,36.83,567002.55,135254.98,299-W19-128,UU/MU
299-W19-131,9.06,568060.13,135008.14,299-W19-131,UU/MU
299-W19-132,24.1,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,24.1,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,24.1,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,24.1,567646.1,134691.91,299-W19-132,UU/MU
299-W19-135,41.0,567601.98,135006.96,299-W19-135,UU/MU
299-W19-135,41.0,567601.98,135006.96,299-W19-135,UU/MU
299-W19-135,41.0,567601.98,135006.96,299-W19-135,UU/MU
299-W19-136,14.1,567703.414,134998.765,299-W19-136,UU/MU
299-W19-136,14.1,567703.414,134998.765,299-W19-136,UU/MU
299-W19-136,14.1,567703.414,134998.765,299-W19-136,UU/MU
299-W19-34A,27.1,567673.637,135012.246,299-W19-34A,UU/MU
299-W19-34B,12.0,567662.876,135010.654,299-W19-34B,UU/MU
299-W19-36,2.37,567634.738,135017.052,299-W19-36,UU/MU
299-W19-4,48.8,567949.931,135350.792,299-W19-4,UU/MU
299-W19-41,38.94,566896.532,135004.51,299-W19-41,UU/MU
299-W19-42,14.45,566896.812,135122.901,299-W19-42,UU/MU
299-W19-44,36.78,566896.95,135041.97,299-W19-44,UU/MU
299-W19-45,32.93,566897.65,135087.65,299-W19-45,UU/MU
299-W19-47,21.35,566895.31,135161.86,299-W19-47,UU/MU
299-W19-48,4.39,567822.93,134925.99,299-W19-48,UU/MU
299-W19-49,53.8,567568.04,134894.38,299-W19-49,UU/MU
299-W19-6,32.0,567133.33,134693.76,299-W19-6,UU/MU
299-W20-1,57.96,568219.97,135054.03,299-W20-1,UU/MU
299-W21-2,3.49,568124.39,134573.79,299-W21-2,UU/MU
299-W22-113,21.45,566904.52,134192.75,299-W22-113,UU/MU
299-W22-115,18.78,566939.39,134292.43,299-W22-115,UU/MU
299-W22-116,26.25,566900.5,134139.92,299-W22-116,UU/MU
299-W22-125,25.7,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,25.7,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,25.7,567028.506,134253.724,299-W22-125,UU/MU
299-W22-47,21.5,566908.74,134076.28,299-W22-47,UU/MU
299-W22-72,54.8,567237.37,134207.08,299-W22-72,UU/MU
299-W22-80,24.38,566842.851,134125.649,299-W22-80,UU/MU
299-W22-81,27.73,567000.263,134354.189,299-W22-81,UU/MU
299-W22-83,42.0,567009.082,134092.546,299-W22-83,UU/MU
299-W22-84,25.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-84,25.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-85,26.0,566902.9,134260.58,299-W22-85,UU/MU
299-W22-86,18.9,567186.74,134041.31,299-W22-86,UU/MU
299-W22-87,30.25,567541.75,134539.88,299-W22-87,UU/MU
299-W22-88,3.24,568046.48,134390.53,299-W22-88,UU/MU
