NAME_norm,HexCr_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W10-1,4.06,566663.096,136734.565,299-W10-1,UU/MU
299-W10-200,15.7,566570.23,136463.41,299-W10-200,UU/MU
299-W10-204,2.5,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,2.5,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,2.5,566256.17,136901.49,299-W10-204,UU/MU
299-W10-205,2.5,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,2.5,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,2.5,566785.69,137184.87,299-W10-205,UU/MU
299-W10-24,6.87,566885.426,136798.78,299-W10-24,UU/MU
299-W10-26,14.81,566843.396,136400.594,299-W10-26,UU/MU
299-W10-27,26.13,566843.969,136441.778,299-W10-27,UU/MU
299-W10-28,95.85,566701.55,136709.93,299-W10-28,UU/MU
299-W10-33,2.5,566772.75,136610.19,299-W10-33,UU/MU
299-W11-18,21.9,567181.916,137161.484,299-W11-18,UU/MU
299-W11-33Q,18.5,567184.869,136844.366,299-W11-33Q,UU/MU
299-W11-39,9.77,566908.383,136779.917,299-W11-39,UU/MU
299-W11-40,29.12,566926.838,136709.666,299-W11-40,UU/MU
299-W11-41,73.38,566935.51,136677.781,299-W11-41,UU/MU
299-W11-42,36.46,566920.435,136745.665,299-W11-42,UU/MU
299-W11-43,34.6,567269.74,136971.04,299-W11-43,LU/CR
299-W11-46,6.02,566914.86,136773.27,299-W11-46,UU/MU
299-W11-47,85.8,566933.82,136680.7,299-W11-47,UU/MU
299-W11-48,3.46,566881.97,136846.18,299-W11-48,LU/CR
299-W11-87,37.6,568141.08,136608.7,299-W11-87,LU/CR
299-W11-88,86.4,567874.67,137113.09,299-W11-88,LU/CR
299-W11-98,106.0,567596.33,136479.36,299-W11-98,LU/CR
299-W11-98,106.0,567596.33,136479.36,299-W11-98,LU/CR
299-W13-2P,3.41,568832.59,135819.18,299-W13-2P,UU/MU
299-W13-2Q,2.5,568832.59,135819.18,299-W13-2Q,UU/MU
299-W14-11,24.42,566901.69,136287.62,299-W14-11,UU/MU
299-W14-14,9.25,566898.386,136181.048,299-W14-14,UU/MU
299-W14-15,6.1,566899.685,136230.654,299-W14-15,UU/MU
299-W14-16,49.8,567001.334,136318.482,299-W14-16,UU/MU
299-W14-18,16.37,566897.47,136344.15,299-W14-18,UU/MU
299-W14-19,5.76,566898.6,136135.06,299-W14-19,UU/MU
299-W14-24,2.5,567161.35,135839.99,299-W14-24,UU/MU
299-W14-24,2.5,567161.35,135839.99,299-W14-24,LU/CR
299-W15-231,8.2,566484.84,136212.92,299-W15-231,UU/MU
299-W15-232,17.8,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,17.8,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,17.8,566090.046,135729.045,299-W15-232,UU/MU
299-W15-44,4.82,566685.02,136066.47,299-W15-44,UU/MU
299-W15-765,12.63,566697.02,136373.06,299-W15-765,UU/MU
299-W18-260,12.64,566862.54,135196.89,299-W18-260,UU/MU
299-W18-261,14.0,566625.427,135064.168,299-W18-261,UU/MU
299-W18-40,7.96,566723.29,134996.41,299-W18-40,UU/MU
299-W18-45,20.6,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,20.6,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,20.6,566213.05,134976.94,299-W18-45,UU/MU
299-W18-45,20.6,566213.05,134976.94,299-W18-45,UU/MU
299-W18-46,15.5,566333.51,135008.82,299-W18-46,UU/MU
299-W18-46,15.5,566333.51,135008.82,299-W18-46,UU/MU
299-W18-46,15.5,566333.51,135008.82,299-W18-46,UU/MU
299-W18-47,22.6,566103.44,134978.72,299-W18-47,UU/MU
299-W18-47,22.6,566103.44,134978.72,299-W18-47,UU/MU
299-W18-47,22.6,566103.44,134978.72,299-W18-47,UU/MU
299-W19-41,4.99,566896.532,135004.51,299-W19-41,UU/MU
299-W19-42,9.53,566896.812,135122.901,299-W19-42,UU/MU
299-W19-44,9.15,566896.95,135041.97,299-W19-44,UU/MU
299-W19-45,16.34,566897.65,135087.65,299-W19-45,UU/MU
299-W19-47,12.55,566895.31,135161.86,299-W19-47,UU/MU
299-W19-6,2.5,567133.33,134693.76,299-W19-6,UU/MU
299-W22-113,2.79,566904.52,134192.75,299-W22-113,UU/MU
299-W22-114,7.8,567726.31,134048.07,299-W22-114,UU/MU
299-W22-115,3.26,566939.39,134292.43,299-W22-115,UU/MU
299-W22-116,134.25,566900.5,134139.92,299-W22-116,UU/MU
299-W22-123,10.06,567593.02,133914.0,299-W22-123,UU/MU
299-W22-123,10.06,567593.02,133914.0,299-W22-123,UU/MU
299-W22-125,2.58,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,2.58,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,2.58,567028.506,134253.724,299-W22-125,UU/MU
299-W22-47,2.5,566908.74,134076.28,299-W22-47,UU/MU
299-W22-69,2.5,567179.6,134347.83,299-W22-69,UU/MU
299-W22-72,27.5,567237.37,134207.08,299-W22-72,UU/MU
299-W22-80,4.53,566842.851,134125.649,299-W22-80,UU/MU
299-W22-81,5.41,567000.263,134354.189,299-W22-81,UU/MU
299-W22-82,2.7,567004.731,134167.07,299-W22-82,UU/MU
