NAME,VAL,TYPE,EVENT_WL,EVENT_CHEM,COLLECTION_PURPOSE,CP_note,XCOORDS,YCOORDS,ZCOORDS,GW_AREA_OF_INTEREST,ELE_m_df4,Easting,Northing,ELE_m_new,Concentration,Type,Elev_flag,Unnamed: 7,ELE_m,Nearby_Wells,index_right,ID,I,J,HSU,NAME_norm,Final_Assignment
299-W11-106,103.0,EXTRACTION,,na,,,568036.76,136481.53,224.191,200-ZP,104.762788,,,,,,Calc,,104.762788,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-106,103.0,EXTRACTION,,na,,,568036.76,136481.53,224.191,200-ZP,104.762788,,,,,,Calc,,104.762788,['299-W11-106'],1498.0,1499.0,26.0,24.0,5_rlm,299-W11-106,UU/MU
299-W11-107,132.0,EXTRACTION,,na,,,567573.99,136583.6,220.427,200-ZP,100.197584,,,,,,Calc,,100.197584,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-107,132.0,EXTRACTION,,na,,,567573.99,136583.6,220.427,200-ZP,100.197584,,,,,,Calc,,100.197584,['299-W11-107'],1435.0,1436.0,25.0,20.0,4_rwia,299-W11-107,LU/CR
299-W11-116,46.0,EXTRACTION,,na,,,567928.757,136407.124,223.02,200-ZP,94.231516,,,,,,Calc,,94.231516,['299-W11-116'],1556.0,1557.0,27.0,23.0,4_rwia,299-W11-116,UU/MU
299-W11-49,145.0,EXTRACTION,,na,,,567361.5,135924.72,216.771,200-ZP,112.377,,,,,,Calc,,112.377,['299-W11-49'],1846.0,1847.0,32.0,18.0,5_rlm,299-W11-49,UU/MU
299-W11-49,145.0,EXTRACTION,,na,,,567361.5,135924.72,216.771,200-ZP,112.377,,,,,,Calc,,112.377,['299-W11-49'],1846.0,1847.0,32.0,18.0,5_rlm,299-W11-49,UU/MU
299-W11-50,1710.0,EXTRACTION,,na,,,566966.27,136756.64,212.974,200-ZP,106.99646,,,,,,Calc,,106.99646,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-50,1710.0,EXTRACTION,,na,,,566966.27,136756.64,212.974,200-ZP,106.99646,,,,,,Calc,,106.99646,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-50,1320.0,EXTRACTION,,na,R,,566966.27,136756.64,212.974,200-ZP,106.99646,,,,,,Calc,,106.99646,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-50,1320.0,EXTRACTION,,na,R,,566966.27,136756.64,212.974,200-ZP,106.99646,,,,,,Calc,,106.99646,"['299-W11-117', '299-W11-50']",1311.0,1312.0,23.0,14.0,5_rlm,299-W11-50,UU/MU
299-W11-90,801.0,EXTRACTION,,na,,,567306.79,136519.66,218.905,200-ZP,100.1884,,,,,,Calc,,100.1884,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-90,801.0,EXTRACTION,,na,,,567306.79,136519.66,218.905,200-ZP,100.1884,,,,,,Calc,,100.1884,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-90,975.5,EXTRACTION,,na,R,,567306.79,136519.66,218.905,200-ZP,100.1884,,,,,,Calc,,100.1884,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-90,975.5,EXTRACTION,,na,R,,567306.79,136519.66,218.905,200-ZP,100.1884,,,,,,Calc,,100.1884,['299-W11-90'],1491.0,1492.0,26.0,17.0,5_rlm,299-W11-90,UU/MU
299-W11-92,85.3,EXTRACTION,,na,,,566692.86,136351.78,205.314,200-ZP,106.28,,,,,,Calc,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-92,85.3,EXTRACTION,,na,,,566692.86,136351.78,205.314,200-ZP,106.28,,,,,,Calc,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-92,65.2,EXTRACTION,,na,R,,566692.86,136351.78,205.314,200-ZP,106.28,,,,,,Calc,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-92,65.2,EXTRACTION,,na,R,,566692.86,136351.78,205.314,200-ZP,106.28,,,,,,Calc,,106.28,['299-W11-92'],1544.0,1545.0,27.0,11.0,5_rlm,299-W11-92,UU/MU
299-W11-96,157.0,EXTRACTION,,na,,,567774.83,136772.24,221.507,200-ZP,105.04192,,,,,,Calc,,105.04192,['299-W11-96'],1319.0,1320.0,23.0,22.0,4_rwia,299-W11-96,UU/MU
299-W11-96,157.0,EXTRACTION,,na,,,567774.83,136772.24,221.507,200-ZP,105.04192,,,,,,Calc,,105.04192,['299-W11-96'],1319.0,1320.0,23.0,22.0,4_rwia,299-W11-96,UU/MU
299-W11-97,106.0,EXTRACTION,,na,,,568317.57,135875.91,224.365,200-UP,94.618468,,,,,,Calc,,94.618468,['299-W11-97'],1855.0,1856.0,32.0,27.0,5_rlm,299-W11-97,UU/MU
299-W12-2,107.0,EXTRACTION,,na,,,568312.67,136610.25,224.355,200-ZP,107.800304,,,,,,Calc,,107.800304,['299-W12-2'],1442.0,1443.0,25.0,27.0,5_rlm,299-W12-2,UU/MU
299-W12-2,100.0,EXTRACTION,,na,R,,568312.67,136610.25,224.355,200-ZP,107.800304,,,,,,Calc,,107.800304,['299-W12-2'],1442.0,1443.0,25.0,27.0,5_rlm,299-W12-2,UU/MU
299-W12-3,216.0,EXTRACTION,,na,,,568321.53,136998.09,225.057,200-ZP,103.0471,,,,,,Calc,,103.0471,['299-W12-3'],1206.0,1207.0,21.0,27.0,4_rwia,299-W12-3,UU/MU
299-W12-3,224.0,EXTRACTION,,na,R,,568321.53,136998.09,225.057,200-ZP,103.0471,,,,,,Calc,,103.0471,['299-W12-3'],1206.0,1207.0,21.0,27.0,4_rwia,299-W12-3,UU/MU
299-W12-4,50.0,EXTRACTION,,na,,,568327.41,136363.65,224.405,200-ZP,92.78676,,,,,,Calc,,92.78676,['299-W12-4'],1560.0,1561.0,27.0,27.0,4_rwia,299-W12-4,UU/MU
299-W12-4,8.02,EXTRACTION,,na,R,,568327.41,136363.65,224.405,200-ZP,92.78676,,,,,,Calc,,92.78676,['299-W12-4'],1560.0,1561.0,27.0,27.0,4_rwia,299-W12-4,UU/MU
299-W12-5,269.0,EXTRACTION,,na,,,568101.7,136735.54,222.881,200-ZP,102.247004,,,,,,Calc,,102.247004,['299-W12-5'],1381.0,1382.0,24.0,25.0,4_rwia,299-W12-5,UU/MU
299-W13-5,63.3,EXTRACTION,,na,,,568110.39,135702.89,222.871,200-UP,97.637356,,,,,,Calc,,97.637356,['299-W13-5'],1971.0,1972.0,34.0,25.0,5_rlm,299-W13-5,LU/CR
299-W13-5,63.3,EXTRACTION,,na,,,568110.39,135702.89,222.871,200-UP,97.637356,,,,,,Calc,,97.637356,['299-W13-5'],1971.0,1972.0,34.0,25.0,5_rlm,299-W13-5,LU/CR
299-W14-20,1320.0,EXTRACTION,,na,,,566909.22,136284.47,205.155,200-ZP,105.398436,,,,,,Calc,,105.398436,"['299-W14-35', '299-W14-20', '299-W14-82']",1605.0,1606.0,28.0,13.0,5_rlm,299-W14-20,UU/MU
299-W14-20,1320.0,EXTRACTION,,na,,,566909.22,136284.47,205.155,200-ZP,105.398436,,,,,,Calc,,105.398436,"['299-W14-35', '299-W14-20', '299-W14-82']",1605.0,1606.0,28.0,13.0,5_rlm,299-W14-20,UU/MU
299-W14-20,1330.0,EXTRACTION,,na,R,,566909.22,136284.47,205.155,200-ZP,105.398436,,,,,,Calc,,105.398436,"['299-W14-35', '299-W14-20', '299-W14-82']",1605.0,1606.0,28.0,13.0,5_rlm,299-W14-20,UU/MU
299-W14-20,1330.0,EXTRACTION,,na,R,,566909.22,136284.47,205.155,200-ZP,105.398436,,,,,,Calc,,105.398436,"['299-W14-35', '299-W14-20', '299-W14-82']",1605.0,1606.0,28.0,13.0,5_rlm,299-W14-20,UU/MU
299-W14-21,50.0,EXTRACTION,,na,,,567721.52,135890.01,220.143,200-ZP,93.58238,,,,,,Calc,,93.58238,['299-W14-21'],1849.0,1850.0,32.0,21.0,4_rwia,299-W14-21,UU/MU
299-W14-21,50.0,EXTRACTION,,na,,,567721.52,135890.01,220.143,200-ZP,93.58238,,,,,,Calc,,93.58238,['299-W14-21'],1849.0,1850.0,32.0,21.0,4_rwia,299-W14-21,UU/MU
299-W14-21,11.6,EXTRACTION,,na,R,,567721.52,135890.01,220.143,200-ZP,93.58238,,,,,,Calc,,93.58238,['299-W14-21'],1849.0,1850.0,32.0,21.0,4_rwia,299-W14-21,UU/MU
