NAME_norm,Tc99_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W10-14,9.17,566017.194,136608.895,299-W10-14,LU/CR
299-W10-20,71.1,566249.695,136866.607,299-W10-20,UU/MU
299-W10-201,143.0,566017.2,136957.24,299-W10-201,UU/MU
299-W10-201,143.0,566017.2,136957.24,299-W10-201,UU/MU
299-W10-201,143.0,566017.2,136957.24,299-W10-201,UU/MU
299-W10-202,72.9,566015.96,136906.28,299-W10-202,UU/MU
299-W10-202,72.9,566015.96,136906.28,299-W10-202,UU/MU
299-W10-202,72.9,566015.96,136906.28,299-W10-202,UU/MU
299-W10-203,50.0,566018.8,136710.81,299-W10-203,UU/MU
299-W10-203,50.0,566018.8,136710.81,299-W10-203,UU/MU
299-W10-203,50.0,566018.8,136710.81,299-W10-203,UU/MU
299-W10-204,50.0,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,50.0,566256.17,136901.49,299-W10-204,UU/MU
299-W10-204,50.0,566256.17,136901.49,299-W10-204,UU/MU
299-W10-205,50.0,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,50.0,566785.69,137184.87,299-W10-205,UU/MU
299-W10-205,50.0,566785.69,137184.87,299-W10-205,UU/MU
299-W10-23,50.0,566823.729,136815.339,299-W10-23,UU/MU
299-W10-24,50.0,566885.426,136798.78,299-W10-24,UU/MU
299-W10-26,12748.79,566843.396,136400.594,299-W10-26,UU/MU
299-W10-27,339.25,566843.969,136441.778,299-W10-27,UU/MU
299-W10-28,17.9,566701.55,136709.93,299-W10-28,UU/MU
299-W10-29,10.0,566082.98,136828.74,299-W10-29,UU/MU
299-W10-30,36.7,566082.78,136739.33,299-W10-30,UU/MU
299-W10-31,63.05,566266.44,136968.34,299-W10-31,UU/MU
299-W10-33,10.0,566772.75,136610.19,299-W10-33,UU/MU
299-W11-33Q,95.4,567184.869,136844.366,299-W11-33Q,UU/MU
299-W11-39,607.0,566908.383,136779.917,299-W11-39,UU/MU
299-W11-40,10200.0,566926.838,136709.666,299-W11-40,UU/MU
299-W11-41,876.0,566935.51,136677.781,299-W11-41,UU/MU
299-W11-42,9150.0,566920.435,136745.665,299-W11-42,UU/MU
299-W11-43,61.3,567269.74,136971.04,299-W11-43,LU/CR
299-W11-45,50.0,566992.84,136775.64,299-W11-45,UU/MU
299-W11-46,50.0,566914.86,136773.27,299-W11-46,UU/MU
299-W11-47,10400.0,566933.82,136680.7,299-W11-47,UU/MU
299-W11-48,16.5,566881.97,136846.18,299-W11-48,LU/CR
299-W11-88,264.0,567874.67,137113.09,299-W11-88,LU/CR
299-W11-98,111.0,567596.33,136479.36,299-W11-98,LU/CR
299-W11-98,111.0,567596.33,136479.36,299-W11-98,LU/CR
299-W13-2P,50.0,568832.59,135819.18,299-W13-2P,UU/MU
299-W13-2Q,9.59,568832.59,135819.18,299-W13-2Q,UU/MU
299-W14-11,6180.0,566901.69,136287.62,299-W14-11,UU/MU
299-W14-15,10500.0,566899.685,136230.654,299-W14-15,UU/MU
299-W14-16,361.0,567001.334,136318.482,299-W14-16,UU/MU
299-W14-17,113.0,567006.773,136218.349,299-W14-17,UU/MU
299-W14-18,6029.17,566897.47,136344.15,299-W14-18,UU/MU
299-W14-19,84.2,566898.6,136135.06,299-W14-19,UU/MU
299-W14-24,50.0,567161.35,135839.99,299-W14-24,UU/MU
299-W14-24,50.0,567161.35,135839.99,299-W14-24,LU/CR
299-W15-11,84.3,566412.296,136000.716,299-W15-11,UU/MU
299-W15-15,98.0,566088.805,135751.493,299-W15-15,UU/MU
299-W15-152,91.7,566309.4,135550.0,299-W15-152,UU/MU
299-W15-17,60.35,566306.891,135718.958,299-W15-17,LU/CR
299-W15-224,91.1,566307.89,135926.08,299-W15-224,UU/MU
299-W15-232,102.0,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,102.0,566090.046,135729.045,299-W15-232,UU/MU
299-W15-232,102.0,566090.046,135729.045,299-W15-232,UU/MU
299-W15-30,84.55,566304.617,135748.936,299-W15-30,UU/MU
299-W15-33,104.0,566433.21,135966.08,299-W15-33,UU/MU
299-W15-37,77.2,566716.468,135248.316,299-W15-37,UU/MU
299-W15-40,60.6,566652.502,136204.971,299-W15-40,UU/MU
299-W15-44,71.1,566685.02,136066.47,299-W15-44,UU/MU
299-W15-46,93.8,566752.23,135586.67,299-W15-46,UU/MU
299-W15-763,86.9,566809.207,136028.763,299-W15-763,UU/MU
299-W15-765,171.0,566697.02,136373.06,299-W15-765,UU/MU
299-W15-83,90.2,566304.52,135826.24,299-W15-83,UU/MU
299-W15-94,91.95,566307.58,135640.34,299-W15-94,UU/MU
299-W17-1,50.0,565310.68,135038.74,299-W17-1,UU/MU
299-W18-1,84.5,566421.515,135465.21,299-W18-1,UU/MU
299-W18-16,107.0,566605.05,135425.69,299-W18-16,UU/MU
299-W18-21,94.0,566097.7,134978.692,299-W18-21,UU/MU
