FID,NAME,EASTING,NORTHING,HSU,TYPE_scripts
0,299-W10-1,566663.096,136734.565,UU/MU,MONITORING
1,299-W10-14,566017.194,136608.895,LU/CR,MONITORING
2,299-W10-200,566570.23,136463.41,UU/MU,MONITORING
3,299-W10-201,566017.2,136957.24,UU/MU,MONITORING
4,299-W10-202,566015.96,136906.28,UU/MU,MONITORING
5,299-W10-203,566018.8,136710.81,UU/MU,MONITORING
6,299-W10-204,566256.17,136901.49,UU/MU,MONITORING
7,299-W10-205,566785.69,137184.87,UU/MU,MONITORING
8,299-W10-24,566885.426,136798.78,UU/MU,MONITORING
9,299-W10-26,566843.396,136400.594,UU/MU,MONITORING
10,299-W10-27,566843.969,136441.778,UU/MU,MONITORING
11,299-W10-28,566701.55,136709.93,UU/MU,MONITORING
12,299-W10-29,566082.98,136828.74,UU/MU,MONITORING
13,299-W10-30,566082.78,136739.33,UU/MU,MONITORING
14,299-W10-31,566266.44,136968.34,UU/MU,MONITORING
15,299-W10-33,566772.75,136610.19,UU/MU,MONITORING
16,299-W11-106,568036.76,136481.53,UU/MU,EXTRACTION
17,299-W11-107,567573.99,136583.6,LU/CR,EXTRACTION
18,299-W11-116,567928.757,136407.124,UU/MU,EXTRACTION
19,299-W11-18,567181.916,137161.484,UU/MU,MONITORING
20,299-W11-33Q,567184.869,136844.366,UU/MU,MONITORING
21,299-W11-39,566908.383,136779.917,UU/MU,MONITORING
22,299-W11-40,566926.838,136709.666,UU/MU,MONITORING
23,299-W11-41,566935.51,136677.781,UU/MU,MONITORING
24,299-W11-42,566920.435,136745.665,UU/MU,MONITORING
25,299-W11-43,567269.74,136971.04,LU/CR,MONITORING
26,299-W11-45,566992.84,136775.64,UU/MU,MONITORING
27,299-W11-46,566914.86,136773.27,UU/MU,MONITORING
28,299-W11-47,566933.82,136680.7,UU/MU,MONITORING
29,299-W11-48,566881.97,136846.18,LU/CR,MONITORING
30,299-W11-49,567361.5,135924.72,UU/MU,EXTRACTION
31,299-W11-50,566966.27,136756.64,UU/MU,EXTRACTION
32,299-W11-87,568141.08,136608.7,LU/CR,MONITORING
33,299-W11-88,567874.67,137113.09,LU/CR,MONITORING
34,299-W11-90,567306.79,136519.66,UU/MU,EXTRACTION
35,299-W11-92,566692.86,136351.78,UU/MU,EXTRACTION
36,299-W11-96,567774.83,136772.24,UU/MU,EXTRACTION
37,299-W11-97,568317.57,135875.91,UU/MU,EXTRACTION
38,299-W11-98,567596.33,136479.36,LU/CR,MONITORING
39,299-W12-2,568312.67,136610.25,UU/MU,EXTRACTION
40,299-W12-3,568321.53,136998.09,UU/MU,EXTRACTION
41,299-W12-4,568327.41,136363.65,UU/MU,EXTRACTION
42,299-W12-5,568101.7,136735.54,UU/MU,EXTRACTION
43,299-W13-1,568148.74,136048.6,UU/MU,MONITORING
44,299-W13-2P,568832.59,135819.18,UU/MU,MONITORING
45,299-W13-2Q,568832.59,135819.18,UU/MU,MONITORING
46,299-W13-5,568110.39,135702.89,LU/CR,EXTRACTION
47,299-W14-11,566901.69,136287.62,UU/MU,MONITORING
48,299-W14-14,566898.386,136181.048,UU/MU,MONITORING
49,299-W14-15,566899.685,136230.654,UU/MU,MONITORING
50,299-W14-17,567006.773,136218.349,UU/MU,MONITORING
51,299-W14-18,566897.47,136344.15,UU/MU,MONITORING
52,299-W14-19,566898.6,136135.06,UU/MU,MONITORING
53,299-W14-20,566909.22,136284.47,UU/MU,EXTRACTION
54,299-W14-21,567721.52,135890.01,UU/MU,EXTRACTION
55,299-W14-22,568324.69,136117.29,UU/MU,EXTRACTION
56,299-W14-24,567161.35,135839.99,LU/CR,MONITORING
57,299-W14-28,567471.073,136463.557,UU/MU,EXTRACTION
58,299-W14-29,568068.098,136864.485,LU/CR,EXTRACTION
59,299-W14-30,568093.697,136358.527,LU/CR,EXTRACTION
60,299-W14-31,567778.283,136542.037,LU/CR,EXTRACTION
61,299-W14-32,568127.499,136054.322,LU/CR,EXTRACTION
62,299-W14-71,567733.43,135567.81,LU/CR,MONITORING
63,299-W14-72,567328.44,135941.28,LU/CR,MONITORING
64,299-W14-73,567358.99,136204.58,UU/MU,EXTRACTION
65,299-W14-74,567781.48,136381.29,UU/MU,EXTRACTION
66,299-W14-75,568000.13,136204.5,LU/CR,EXTRACTION
67,299-W15-11,566412.296,136000.716,UU/MU,MONITORING
68,299-W15-152,566309.4,135550,UU/MU,MONITORING
69,299-W15-17,566306.891,135718.958,LU/CR,MONITORING
70,299-W15-224,566307.89,135926.08,UU/MU,MONITORING
71,299-W15-225,566657.35,136108.93,UU/MU,EXTRACTION
72,299-W15-231,566484.84,136212.92,UU/MU,MONITORING
73,299-W15-232,566090.046,135729.045,UU/MU,MONITORING
74,299-W15-30,566304.617,135748.936,UU/MU,MONITORING
75,299-W15-33,566433.21,135966.08,UU/MU,MONITORING
76,299-W15-37,566716.468,135248.316,UU/MU,MONITORING
77,299-W15-44,566685.02,136066.47,UU/MU,MONITORING
78,299-W15-46,566752.23,135586.67,UU/MU,MONITORING
79,299-W15-49,566307.2,135972.91,UU/MU,MONITORING
80,299-W15-50,566793.47,135790.72,UU/MU,MONITORING
81,299-W15-7,566675.883,135920.204,UU/MU,MONITORING
82,299-W15-763,566809.207,136028.763,UU/MU,MONITORING
83,299-W15-765,566697.02,136373.06,UU/MU,MONITORING
84,299-W15-83,566304.52,135826.24,UU/MU,MONITORING
85,299-W15-94,566307.58,135640.34,UU/MU,MONITORING
86,299-W17-2,566951.64,135806.21,UU/MU,EXTRACTION
87,299-W17-3,566925.89,135325.02,UU/MU,EXTRACTION
88,299-W18-1,566421.515,135465.21,UU/MU,MONITORING
89,299-W18-15,566380.033,134733.478,UU/MU,MONITORING
90,299-W18-16,566605.05,135425.69,UU/MU,MONITORING
91,299-W18-21,566097.7,134978.692,UU/MU,MONITORING
92,299-W18-22,566088.632,134990.157,LU/CR,MONITORING
93,299-W18-260,566862.54,135196.89,UU/MU,MONITORING
94,299-W18-261,566625.427,135064.168,UU/MU,MONITORING
95,299-W18-40,566723.29,134996.41,UU/MU,MONITORING
96,299-W18-45,566213.05,134976.94,UU/MU,MONITORING
97,299-W18-46,566333.51,135008.82,UU/MU,MONITORING
98,299-W18-47,566103.44,134978.72,UU/MU,MONITORING
99,299-W19-105,567565.15,134745.44,UU/MU,MONITORING
100,299-W19-107,567997.87,135205.66,UU/MU,MONITORING
101,299-W19-111,567313.04,135547.02,UU/MU,EXTRACTION
102,299-W19-113,567689.62,135008.2,UU/MU,EXTRACTION
103,299-W19-114,567901.89,135013.21,UU/MU,EXTRACTION
104,299-W19-115,567371.99,135011.96,UU/MU,MONITORING
105,299-W19-116,568510.19,135090.16,UU/MU,MONITORING
106,299-W19-123,567511.71,134988.14,UU/MU,EXTRACTION
107,299-W19-125,567720.14,135090.85,UU/MU,EXTRACTION
108,299-W19-126,567397.26,135101.2,UU/MU,MONITORING
109,299-W19-127,567036.73,135110.71,UU/MU,MONITORING
110,299-W19-128,567002.55,135254.98,UU/MU,MONITORING
111,299-W19-131,568060.13,135008.14,UU/MU,MONITORING
112,299-W19-134,567630.02,135018.24,UU/MU,EXTRACTION
113,299-W19-34A,567673.637,135012.246,UU/MU,MONITORING
114,299-W19-34B,567662.876,135010.654,UU/MU,MONITORING
115,299-W19-36,567634.738,135017.052,UU/MU,MONITORING
116,299-W19-4,567949.931,135350.792,UU/MU,MONITORING
117,299-W19-41,566896.532,135004.51,UU/MU,MONITORING
118,299-W19-42,566896.812,135122.901,UU/MU,MONITORING
119,299-W19-44,566896.95,135041.97,UU/MU,MONITORING
120,299-W19-45,566897.65,135087.65,UU/MU,MONITORING
121,299-W19-47,566895.31,135161.86,UU/MU,MONITORING
122,299-W19-48,567822.93,134925.99,UU/MU,MONITORING
123,299-W19-49,567568.04,134894.38,UU/MU,MONITORING
124,299-W19-6,567133.33,134693.76,UU/MU,MONITORING
125,299-W20-1,568219.97,135054.03,UU/MU,MONITORING
126,299-W21-2,568124.39,134573.79,UU/MU,MONITORING
127,299-W22-113,566904.52,134192.75,UU/MU,MONITORING
128,299-W22-115,566939.39,134292.43,UU/MU,MONITORING
129,299-W22-116,566900.5,134139.92,UU/MU,MONITORING
130,299-W22-47,566908.74,134076.28,UU/MU,MONITORING
131,299-W22-72,567237.37,134207.08,UU/MU,MONITORING
132,299-W22-80,566842.851,134125.649,UU/MU,MONITORING
133,299-W22-81,567000.263,134354.189,UU/MU,MONITORING
134,299-W22-83,567009.082,134092.546,UU/MU,MONITORING
135,299-W22-84,566978.76,134547.62,UU/MU,MONITORING
136,299-W22-85,566902.9,134260.58,UU/MU,MONITORING
137,299-W22-86,567186.74,134041.31,UU/MU,MONITORING
138,299-W22-87,567541.75,134539.88,UU/MU,MONITORING
139,299-W22-88,568046.48,134390.53,UU/MU,MONITORING
140,299-W22-90,566961.39,134483.24,UU/MU,EXTRACTION
141,299-W22-91,566911.76,134134.53,UU/MU,EXTRACTION
142,299-W22-92,567167.84,134029.77,UU/MU,EXTRACTION
143,299-W22-93,566949.07,134485.98,UU/MU,MONITORING
144,299-W22-94,567009.82,134429.75,UU/MU,MONITORING
145,299-W22-95,567170.54,134549.11,UU/MU,MONITORING
146,299-W23-19,566759.115,134166.653,UU/MU,MONITORING
147,299-W23-20,566717.669,134446.189,UU/MU,MONITORING
148,299-W23-21,566707.737,134293.994,UU/MU,MONITORING
149,299-W23-4,566628.216,134391.881,UU/MU,MONITORING
150,299-W26-13,566424.387,133293.598,UU/MU,MONITORING
151,299-W26-14,566682.69,133539.21,UU/MU,MONITORING
152,299-W26-15,566575.83,133391.21,UU/MU,MONITORING
153,299-W26-16,566324.31,133233.15,UU/MU,MONITORING
154,299-W27-2,566908.267,133670.351,LU/CR,MONITORING
155,299-W27-3,566923.55,133756.88,UU/MU,MONITORING
156,299-W5-1,568329.73,137321.21,UU/MU,EXTRACTION
157,299-W5-2P,568175.4,137621.12,UU/MU,MONITORING
158,299-W5-2Q,568175.4,137621.12,LU/CR,MONITORING
159,299-W6-15,567781.69,137076.41,UU/MU,EXTRACTION
160,299-W6-17,567767.41,137473.37,LU/CR,MONITORING
161,299-W6-3,567118.18,137299.13,LU/CR,MONITORING
162,299-W6-6,567318.74,137638.72,LU/CR,MONITORING
163,299-W7-15,566772.11,137635.28,UU/MU,MONITORING
164,299-W7-3,566292.031,137638.641,LU/CR,MONITORING
165,299-W9-2,565742.21,136872.84,UU/MU,MONITORING
166,699-30-66,569990.98,132739.19,LU/CR,MONITORING
167,699-32-62,571009.564,133215.925,UU/MU,MONITORING
168,699-32-72A,567942.676,133362.612,UU/MU,MONITORING
169,699-32-76,566683.94,133137.73,UU/MU,MONITORING
170,699-32-77B,566402.07,133172.13,UU/MU,MONITORING
171,699-33-75,566907.78,133662.48,UU/MU,MONITORING
172,699-33-76,566621.21,133600.43,UU/MU,MONITORING
173,699-34-61,571395.863,133809.862,UU/MU,MONITORING
174,699-35-66A,569857.861,134099.244,UU/MU,MONITORING
175,699-35-70C,568458.619,134298.706,UU/MU,MONITORING
176,699-35-78A,566063.586,134271.27,UU/MU,MONITORING
177,699-36-61A,571395.472,134557.106,UU/MU,MONITORING
178,699-36-63B,570683.53,134228.69,UU/MU,MONITORING
179,699-36-65,570034.24,134468.75,UU/MU,MONITORING
180,699-36-66B,569731,134469,UU/MU,MONITORING
181,699-36-70A,568466.679,134308.839,UU/MU,MONITORING
182,699-36-70B,568427.79,134625.98,UU/MU,MONITORING
183,699-37-66,569730.32,134797.15,UU/MU,MONITORING
184,699-37-67,569520.26,134957.52,UU/MU,MONITORING
185,699-38-61,571219.097,134997.282,UU/MU,MONITORING
186,699-38-64B,569900.22,135319.93,UU/MU,MONITORING
187,699-38-65,570090.185,135039.847,UU/MU,MONITORING
188,699-38-70B,568469.1,135331.04,UU/MU,MONITORING
189,699-38-70C,569084.11,135325.58,LU/CR,MONITORING
190,699-39-68,569077.9,135332.77,UU/MU,MONITORING
191,699-40-62,571164.26,135764.42,UU/MU,MONITORING
192,699-40-65,570057.48,135881.16,UU/MU,MONITORING
193,699-40-70A,567986.853,137401.816,LU/CR,EXTRACTION
194,699-43-69,568967.03,136488.48,UU/MU,MONITORING
195,699-44-64,570390.65,136897.43,UU/MU,MONITORING
196,699-44-70B,568670.06,136810.37,LU/CR,MONITORING
197,699-45-67C,569431.19,137131.75,LU/CR,MONITORING
198,699-45-69C,568947.12,137233.81,LU/CR,MONITORING
