FID,NAME,SITE,EASTING,NORTHING,HSU,TYPE_scripts
0,299-W5-1,ZP1,568329.73,137321.21,UU/MU,EXTRACTION
1,299-W6-6,ZP1,567318.74,137638.72,LU/CR,MONITORING
2,299-W6-11,ZP1,567163,137635,UU/MU,MONITORING
3,299-W6-15,ZP1,567781.69,137076.41,UU/MU,EXTRACTION
4,299-W6-17,ZP1,567767.41,137473.37,LU/CR,MONITORING
5,299-W7-3,ZP1,566292.031,137638.641,LU/CR,MONITORING
6,299-W9-2,ZP1,565742.21,136872.84,UU/MU,MONITORING
7,299-W10-1,ZP1,566663.096,136734.565,UU/MU,MONITORING
8,299-W10-23,ZP1,566823.729,136815.339,UU/MU,MONITORING
9,299-W10-24,ZP1,566885.426,136798.78,UU/MU,MONITORING
10,299-W10-26,ZP1,566843.396,136400.594,UU/MU,MONITORING
11,299-W10-27,ZP1,566843.969,136441.778,UU/MU,MONITORING
12,299-W10-28,ZP1,566701.55,136709.93,UU/MU,MONITORING
13,299-W10-29,ZP1,566082.98,136828.74,UU/MU,MONITORING
14,299-W10-30,ZP1,566082.78,136739.33,UU/MU,MONITORING
15,299-W10-31,ZP1,566266.44,136968.34,UU/MU,MONITORING
16,299-W10-33,ZP1,566772.75,136610.19,UU/MU,MONITORING
17,299-W11-14,ZP1,567458,136914,UU/MU,MONITORING
18,299-W11-18,ZP1,567181.916,137161.484,UU/MU,MONITORING
19,299-W11-33Q,ZP1,567184.869,136844.366,UU/MU,MONITORING
20,299-W11-39,ZP1,566908.383,136779.917,UU/MU,MONITORING
21,299-W11-40,ZP1,566926.838,136709.666,UU/MU,MONITORING
22,299-W11-41,ZP1,566935.51,136677.781,UU/MU,MONITORING
23,299-W11-42,ZP1,566920.435,136745.665,UU/MU,MONITORING
24,299-W11-43,ZP1,567269.74,136971.04,LU/CR,MONITORING
25,299-W11-45,ZP1,566992.84,136775.64,UU/MU,MONITORING
26,299-W11-46,ZP1,566914.86,136773.27,UU/MU,MONITORING
27,299-W11-47,ZP1,566933.82,136680.7,UU/MU,MONITORING
28,299-W11-49,ZP1,567361.5,135924.72,UU/MU,EXTRACTION
29,299-W11-50,ZP1,566966.27,136756.64,UU/MU,EXTRACTION
30,299-W11-88,ZP1,567874.67,137113.09,LU/CR,MONITORING
31,299-W11-90,ZP1,567306.79,136519.66,UU/MU,EXTRACTION
32,299-W11-92,ZP1,566692.86,136351.78,UU/MU,EXTRACTION
33,299-W11-96,ZP1,567774.83,136772.24,UU/MU,EXTRACTION
34,299-W12-2,ZP1,568312.67,136610.25,UU/MU,EXTRACTION
35,299-W12-3,ZP1,568321.53,136998.09,UU/MU,EXTRACTION
36,299-W12-4,ZP1,568327.41,136363.65,UU/MU,EXTRACTION
37,299-W14-11,ZP1,566901.69,136287.62,UU/MU,MONITORING
38,299-W14-13,ZP1,566902,136282,UU/MU,MONITORING
39,299-W14-14,ZP1,566898.386,136181.048,UU/MU,MONITORING
40,299-W14-15,ZP1,566899.685,136230.654,UU/MU,MONITORING
41,299-W14-16,ZP1,567001.334,136318.482,UU/MU,MONITORING
42,299-W14-17,ZP1,567006.773,136218.349,UU/MU,MONITORING
43,299-W14-18,ZP1,566897.47,136344.15,UU/MU,MONITORING
44,299-W14-19,ZP1,566898.6,136135.06,UU/MU,MONITORING
45,299-W14-20,ZP1,566909.22,136284.47,UU/MU,EXTRACTION
46,299-W14-21,ZP1,567721.52,135890.01,UU/MU,EXTRACTION
47,299-W14-22,ZP1,568324.69,136117.29,UU/MU,EXTRACTION
48,299-W14-73,ZP1,567358.99,136204.58,UU/MU,EXTRACTION
49,299-W14-74,ZP1,567781.48,136381.29,UU/MU,EXTRACTION
50,299-W15-1,ZP1,566554,135943,UU/MU,MONITORING
51,299-W15-7,ZP1,566675.883,135920.204,UU/MU,MONITORING
52,299-W15-11,ZP1,566412.296,136000.716,UU/MU,MONITORING
53,299-W15-17,ZP1,566306.891,135718.958,LU/CR,MONITORING
54,299-W15-30,ZP1,566304.617,135748.936,UU/MU,MONITORING
55,299-W15-33,ZP1,566433.21,135966.08,UU/MU,MONITORING
56,299-W15-34,ZP1,566613,135960,UU/MU,MONITORING
57,299-W15-36,ZP1,566774,135430,UU/MU,MONITORING
58,299-W15-40,ZP1,566652.502,136204.971,UU/MU,MONITORING
59,299-W15-43,ZP1,566490,136210,UU/MU,MONITORING
60,299-W15-44,ZP1,566685.02,136066.47,UU/MU,MONITORING
61,299-W15-46,ZP1,566752.23,135586.67,UU/MU,MONITORING
62,299-W15-47,ZP1,566776,135642,UU/MU,MONITORING
63,299-W15-83,ZP1,566304.52,135826.24,UU/MU,MONITORING
64,299-W15-94,ZP1,566307.58,135640.34,UU/MU,MONITORING
65,299-W15-152,ZP1,566309.4,135550,UU/MU,MONITORING
66,299-W15-224,ZP1,566307.89,135926.08,UU/MU,MONITORING
67,299-W15-225,ZP1,566657.35,136108.93,UU/MU,EXTRACTION
68,299-W15-763,ZP1,566809.207,136028.763,UU/MU,MONITORING
69,299-W15-765,ZP1,566697.02,136373.06,UU/MU,MONITORING
70,299-W17-2,ZP1,566951.64,135806.21,UU/MU,EXTRACTION
71,299-W18-1,ZP1,566421.515,135465.21,UU/MU,MONITORING
72,299-W18-6,ZP1,566513,135413,--,MONITORING
73,299-W18-7,ZP1,566581,135410,UU/MU,MONITORING
74,699-43-69,ZP1,568967.03,136488.48,UU/MU,MONITORING
75,699-44-70B,ZP1,568670.06,136810.37,LU/CR,MONITORING
76,699-45-69C,ZP1,568947.12,137233.81,LU/CR,MONITORING
77,699-47-60,ZP1,571474.38,137968.732,UU/MU,MONITORING
78,699-48-77C,ZP1,566468.954,138086.801,UU/MU,MONITORING
79,699-48-77D,ZP1,566433,138119,UU/MU,MONITORING
80,699-48-96,ZP1,560516.991,138355.269,UU/MU,MONITORING
81,699-49-100C,ZP1,559303.736,138503.233,UU/MU,MONITORING
82,699-49-79,ZP1,565771.123,138271.108,UU/MU,MONITORING
83,699-50-74,ZP1,567359.52,138646.73,UU/MU,MONITORING
84,699-51-75,ZP1,566978.076,138906.286,UU/MU,MONITORING
85,699-55-76,ZP1,566723.421,140225.816,UU/MU,MONITORING
86,299-W15-37,UP1,566716.468,135248.316,UU/MU,MONITORING
87,299-W17-3,UP1,566925.89,135325.02,UU/MU,EXTRACTION
88,299-W18-15,UP1,566380.033,134733.478,UU/MU,MONITORING
89,299-W18-21,UP1,566097.7,134978.692,UU/MU,MONITORING
90,299-W18-22,UP1,566088.632,134990.157,LU/CR,MONITORING
91,299-W18-40,UP1,566723.29,134996.41,UU/MU,MONITORING
92,299-W18-260,UP1,566862.54,135196.89,UU/MU,MONITORING
93,299-W19-6,UP1,567133.33,134693.76,UU/MU,MONITORING
94,299-W19-12,UP1,566897,135059,UU/MU,MONITORING
95,299-W19-34A,UP1,567673.637,135012.246,UU/MU,MONITORING
96,299-W19-34B,UP1,567662.876,135010.654,UU/MU,MONITORING
97,299-W19-36,UP1,567634.738,135017.052,UU/MU,MONITORING
98,299-W19-39,UP1,567901.739,134886.74,UU/MU,MONITORING
99,299-W19-41,UP1,566896.532,135004.51,UU/MU,MONITORING
100,299-W19-42,UP1,566896.812,135122.901,UU/MU,MONITORING
101,299-W19-43,UP1,567699.15,135004.02,UU/MU,MONITORING
102,299-W19-44,UP1,566896.95,135041.97,UU/MU,MONITORING
103,299-W19-45,UP1,566897.65,135087.65,UU/MU,MONITORING
104,299-W19-46,UP1,567782.67,134842.46,UU/MU,MONITORING
105,299-W19-47,UP1,566895.31,135161.86,UU/MU,MONITORING
106,299-W19-48,UP1,567822.93,134925.99,UU/MU,MONITORING
107,299-W19-49,UP1,567568.04,134894.38,UU/MU,MONITORING
108,299-W19-101,UP1,567939.14,135014.07,UU/MU,MONITORING
109,299-W19-105,UP1,567565.15,134745.44,UU/MU,MONITORING
110,299-W19-107,UP1,567997.87,135205.66,UU/MU,MONITORING
111,299-W19-113,UP1,567689.62,135008.2,UU/MU,EXTRACTION
112,299-W19-114,UP1,567901.89,135013.21,UU/MU,EXTRACTION
113,299-W19-115,UP1,567371.99,135011.96,UU/MU,MONITORING
114,299-W19-116,UP1,568510.19,135090.16,UU/MU,MONITORING
115,299-W19-132,UP1,567646.1,134691.91,UU/MU,MONITORING
116,299-W20-1,UP1,568219.97,135054.03,UU/MU,MONITORING
117,299-W21-2,UP1,568124.39,134573.79,UU/MU,MONITORING
118,299-W21-3,UP1,568570.76,133980.24,UU/MU,MONITORING
119,299-W22-10,UP1,567013,134215,UU/MU,MONITORING
120,299-W22-24P,UP1,567648,134411,LU/CR,MONITORING
121,299-W22-47,UP1,566908.74,134076.28,UU/MU,MONITORING
122,299-W22-69,UP1,567179.6,134347.83,UU/MU,MONITORING
123,299-W22-72,UP1,567237.37,134207.08,UU/MU,MONITORING
124,299-W22-79,UP1,567629.54,134464.846,UU/MU,MONITORING
125,299-W22-80,UP1,566842.851,134125.649,UU/MU,MONITORING
126,299-W22-81,UP1,567000.263,134354.189,UU/MU,MONITORING
127,299-W22-82,UP1,567004.731,134167.07,UU/MU,MONITORING
128,299-W22-83,UP1,567009.082,134092.546,UU/MU,MONITORING
129,299-W22-84,UP1,566978.76,134547.62,UU/MU,MONITORING
130,299-W22-85,UP1,566902.9,134260.58,UU/MU,MONITORING
131,299-W22-86,UP1,567186.74,134041.31,UU/MU,MONITORING
132,299-W22-87,UP1,567541.75,134539.88,UU/MU,MONITORING
133,299-W22-88,UP1,568046.48,134390.53,UU/MU,MONITORING
134,299-W22-89,UP1,566906.77,134031.67,UU/MU,MONITORING
135,299-W22-90,UP1,566961.39,134483.24,UU/MU,EXTRACTION
136,299-W22-91,UP1,566911.76,134134.53,UU/MU,EXTRACTION
137,299-W22-92,UP1,567167.84,134029.77,UU/MU,EXTRACTION
138,299-W22-93,UP1,566949.07,134485.98,UU/MU,MONITORING
139,299-W22-94,UP1,567009.82,134429.75,UU/MU,MONITORING
140,299-W22-95,UP1,567170.54,134549.11,UU/MU,MONITORING
141,299-W22-96,UP1,567351.93,134145.58,UU/MU,MONITORING
142,299-W22-113,UP1,566904.52,134192.75,UU/MU,MONITORING
143,299-W22-114,UP1,567726.31,134048.07,UU/MU,MONITORING
144,299-W22-115,UP1,566939.39,134292.43,UU/MU,MONITORING
145,299-W22-116,UP1,566900.5,134139.92,UU/MU,MONITORING
146,299-W22-123,UP1,567593.02,133914,UU/MU,MONITORING
147,299-W22-125,UP1,567028.506,134253.724,UU/MU,MONITORING
148,299-W23-4,UP1,566628.216,134391.881,UU/MU,MONITORING
149,299-W23-19,UP1,566759.115,134166.653,UU/MU,MONITORING
150,299-W23-20,UP1,566717.669,134446.189,UU/MU,MONITORING
151,299-W23-21,UP1,566707.737,134293.994,UU/MU,MONITORING
152,299-W23-236,UP1,566798.66,134128.15,UU/MU,MONITORING
153,299-W26-13,UP1,566424.387,133293.598,UU/MU,MONITORING
154,299-W26-14,UP1,566682.69,133539.21,UU/MU,MONITORING
155,299-W27-2,UP1,566908.267,133670.351,LU/CR,MONITORING
156,699-17-70,UP1,568572,128636,--,MONITORING
157,699-19-88,UP1,563131.105,129413.881,UU/MU,MONITORING
158,699-26-89,UP1,562778.695,131375.105,UU/MU,MONITORING
159,699-32-62,UP1,571009.564,133215.925,UU/MU,MONITORING
160,699-32-70B,UP1,568461.999,133242.245,UU/MU,MONITORING
161,699-32-72A,UP1,567942.676,133362.612,UU/MU,MONITORING
162,699-32-76,UP1,566683.94,133137.73,UU/MU,MONITORING
163,699-33-74,UP1,567472.65,133552.16,UU/MU,MONITORING
164,699-33-75,UP1,566907.78,133662.48,UU/MU,MONITORING
165,699-33-76,UP1,566621.21,133600.43,UU/MU,MONITORING
166,699-34-61,UP1,571395.863,133809.862,UU/MU,MONITORING
167,699-34-72,UP1,567859.97,133785.33,UU/MU,MONITORING
168,699-35-59,UP1,571956,134096,UU/MU,MONITORING
169,699-35-66A,UP1,569857.861,134099.244,UU/MU,MONITORING
170,699-35-78A,UP1,566063.586,134271.27,UU/MU,MONITORING
171,699-36-61A,UP1,571395.472,134557.106,UU/MU,MONITORING
172,699-36-66B,UP1,569731,134469,UU/MU,MONITORING
173,699-36-70A,UP1,568466.679,134308.839,UU/MU,MONITORING
