FID,NAME,EASTING,NORTHING,HSU,Type_scripts
0,299-W10-20,566249.695,136866.607,UU/MU,MONITORING
1,299-W10-23,566823.729,136815.339,UU/MU,MONITORING
2,299-W10-24,566885.426,136798.78,UU/MU,MONITORING
3,299-W10-28,566701.55,136709.93,UU/MU,MONITORING
4,299-W10-200,566570.23,136463.41,UU/MU,MONITORING
5,299-W10-201,566017.2,136957.24,UU/MU,MONITORING
6,299-W10-202,566015.96,136906.28,UU/MU,MONITORING
7,299-W10-203,566018.8,136710.81,UU/MU,MONITORING
8,299-W10-204,566256.17,136901.49,UU/MU,MONITORING
9,299-W10-205,566785.69,137184.87,UU/MU,MONITORING
10,299-W11-14,567458,136914,UU/MU,MONITORING
11,299-W11-22,567269,136673,UU/MU,MONITORING
12,299-W11-26,567045,136564,--,MONITORING
13,299-W11-39,566908.383,136779.917,UU/MU,MONITORING
14,299-W11-40,566926.838,136709.666,UU/MU,MONITORING
15,299-W11-42,566920.435,136745.665,UU/MU,MONITORING
16,299-W11-46,566914.86,136773.27,UU/MU,MONITORING
17,299-W11-49,567361.5,135924.72,UU/MU,EXTRACTION
18,299-W11-50,566966.27,136756.64,UU/MU,EXTRACTION
19,299-W11-90,567306.79,136519.66,UU/MU,EXTRACTION
20,299-W11-92,566692.86,136351.78,UU/MU,EXTRACTION
21,299-W11-96,567774.83,136772.24,UU/MU,EXTRACTION
22,299-W11-97,568317.57,135875.91,UU/MU,EXTRACTION
23,299-W11-106,568036.76,136481.53,UU/MU,EXTRACTION
24,299-W11-107,567573.99,136583.6,LU/CR,EXTRACTION
25,299-W11-116,567928.757,136407.124,UU/MU,EXTRACTION
26,299-W12-2,568312.67,136610.25,UU/MU,EXTRACTION
27,299-W12-3,568321.53,136998.09,UU/MU,EXTRACTION
28,299-W12-4,568327.41,136363.65,UU/MU,EXTRACTION
29,299-W12-5,568101.7,136735.54,UU/MU,EXTRACTION
30,299-W12-6,568139.873,136521.266,LU/CR,EXTRACTION
31,299-W13-5,568110.39,135702.89,LU/CR,EXTRACTION
