FID,NAME,EASTING,NORTHING,HSU,Type_scripts
0,299-W5-2P,568175.4,137621.12,UU/MU,MONITORING
1,299-W5-2Q,568175.4,137621.12,LU/CR,MONITORING
2,299-W6-3,567118.18,137299.13,LU/CR,MONITORING
3,299-W6-6,567318.74,137638.72,LU/CR,MONITORING
4,299-W6-17,567767.41,137473.37,LU/CR,MONITORING
5,299-W7-3,566292.031,137638.641,LU/CR,MONITORING
6,299-W10-1,566663.096,136734.565,UU/MU,MONITORING
7,299-W10-14,566017.194,136608.895,LU/CR,MONITORING
8,299-W10-26,566843.396,136400.594,UU/MU,MONITORING
9,299-W10-27,566843.969,136441.778,UU/MU,MONITORING
10,299-W10-29,566082.98,136828.74,UU/MU,MONITORING
11,299-W10-30,566082.78,136739.33,UU/MU,MONITORING
12,299-W10-31,566266.44,136968.34,UU/MU,MONITORING
13,299-W10-33,566772.75,136610.19,UU/MU,MONITORING
14,299-W11-13,567099,136424,UU/MU,MONITORING
15,299-W11-18,567181.916,137161.484,UU/MU,MONITORING
16,299-W11-33Q,567184.869,136844.366,UU/MU,MONITORING
17,299-W11-41,566935.51,136677.781,UU/MU,MONITORING
18,299-W11-43,567269.74,136971.04,LU/CR,MONITORING
19,299-W11-45,566992.84,136775.64,UU/MU,MONITORING
20,299-W11-47,566933.82,136680.7,UU/MU,MONITORING
21,299-W11-48,566881.97,136846.18,LU/CR,MONITORING
22,299-W11-87,568141.08,136608.7,LU/CR,MONITORING
23,299-W11-88,567874.67,137113.09,LU/CR,MONITORING
24,299-W11-98,567596.33,136479.36,LU/CR,MONITORING
25,299-W11-99,567615.778,136481.217,LU/CR,MONITORING
26,299-W11-100,567605.826,136490.562,LU/CR,MONITORING
27,299-W13-1,568148.74,136048.6,UU/MU,MONITORING
28,299-W13-2P,568832.59,135819.18,UU/MU,MONITORING
29,299-W13-2Q,568832.59,135819.18,UU/MU,MONITORING
30,299-W13-3,568846.25,135819.64,LU/CR,MONITORING
31,299-W14-11,566901.69,136287.62,UU/MU,MONITORING
32,299-W14-13,566902,136282,UU/MU,MONITORING
33,299-W14-14,566898.386,136181.048,UU/MU,MONITORING
34,299-W14-16,567001.334,136318.482,UU/MU,MONITORING
35,299-W14-17,567006.773,136218.349,UU/MU,MONITORING
36,299-W14-18,566897.47,136344.15,UU/MU,MONITORING
37,299-W14-24,567161.35,135839.99,LU/CR,MONITORING
38,299-W14-25,567169.051,135845.699,UU/MU,MONITORING
39,299-W14-71,567733.43,135567.81,LU/CR,MONITORING
40,299-W14-72,567328.44,135941.28,LU/CR,MONITORING
41,299-W15-1,566554,135943,UU/MU,MONITORING
42,299-W15-3,566729,136371,UU/MU,MONITORING
43,299-W15-7,566675.883,135920.204,UU/MU,MONITORING
44,299-W15-11,566412.296,136000.716,UU/MU,MONITORING
45,299-W15-17,566306.891,135718.958,LU/CR,MONITORING
46,299-W15-30,566304.617,135748.936,UU/MU,MONITORING
47,299-W15-31A,566377,135856,UU/MU,MONITORING
48,299-W15-33,566433.21,135966.08,UU/MU,MONITORING
49,299-W15-37,566716.468,135248.316,UU/MU,MONITORING
50,299-W15-42,566582,135627,UU/MU,MONITORING
51,299-W15-46,566752.23,135586.67,UU/MU,MONITORING
52,299-W15-49,566307.2,135972.91,UU/MU,MONITORING
53,299-W15-50,566793.47,135790.72,UU/MU,MONITORING
54,299-W15-83,566304.52,135826.24,UU/MU,MONITORING
55,299-W15-94,566307.58,135640.34,UU/MU,MONITORING
56,299-W15-152,566309.4,135550,UU/MU,MONITORING
57,299-W15-224,566307.89,135926.08,UU/MU,MONITORING
58,299-W15-763,566809.207,136028.763,UU/MU,MONITORING
59,299-W15-765,566697.02,136373.06,UU/MU,MONITORING
60,299-W17-1,565310.68,135038.74,UU/MU,MONITORING
61,299-W18-1,566421.515,135465.21,UU/MU,MONITORING
62,299-W18-15,566380.033,134733.478,UU/MU,MONITORING
63,299-W18-16,566605.05,135425.69,UU/MU,MONITORING
64,299-W18-21,566097.7,134978.692,UU/MU,MONITORING
65,299-W18-22,566088.632,134990.157,LU/CR,MONITORING
66,299-W18-40,566723.29,134996.41,UU/MU,MONITORING
67,299-W19-4,567949.931,135350.792,UU/MU,MONITORING
68,299-W19-6,567133.33,134693.76,UU/MU,MONITORING
69,299-W19-18,567361,135012,UU/MU,MONITORING
70,299-W19-34A,567673.637,135012.246,UU/MU,MONITORING
71,299-W19-34B,567662.876,135010.654,UU/MU,MONITORING
72,299-W19-35,567992,135015,UU/MU,MONITORING
73,299-W19-36,567634.738,135017.052,UU/MU,MONITORING
74,299-W19-41,566896.532,135004.51,UU/MU,MONITORING
75,299-W19-47,566895.31,135161.86,UU/MU,MONITORING
76,299-W19-48,567822.93,134925.99,UU/MU,MONITORING
77,299-W19-49,567568.04,134894.38,UU/MU,MONITORING
78,299-W19-105,567565.15,134745.44,UU/MU,MONITORING
79,299-W19-107,567997.87,135205.66,UU/MU,MONITORING
80,299-W19-115,567371.99,135011.96,UU/MU,MONITORING
81,299-W21-2,568124.39,134573.79,UU/MU,MONITORING
82,299-W22-47,566908.74,134076.28,UU/MU,MONITORING
83,299-W22-72,567237.37,134207.08,UU/MU,MONITORING
84,299-W22-86,567186.74,134041.31,UU/MU,MONITORING
85,299-W22-87,567541.75,134539.88,UU/MU,MONITORING
86,299-W22-88,568046.48,134390.53,UU/MU,MONITORING
87,299-W23-4,566628.216,134391.881,UU/MU,MONITORING
88,299-W23-19,566759.115,134166.653,UU/MU,MONITORING
89,299-W23-20,566717.669,134446.189,UU/MU,MONITORING
90,299-W26-13,566424.387,133293.598,UU/MU,MONITORING
91,299-W26-14,566682.69,133539.21,UU/MU,MONITORING
92,299-W27-2,566908.267,133670.351,LU/CR,MONITORING
93,699-25-70,568544.855,131171.718,UU/MU,MONITORING
94,699-25-80,565676,131106,--,MONITORING
95,699-30-66,569990.98,132739.19,LU/CR,MONITORING
96,699-32-62,571009.564,133215.925,UU/MU,MONITORING
97,699-32-62P,571010,133216,LU/CR,MONITORING
98,699-32-70B,568461.999,133242.245,UU/MU,MONITORING
99,699-32-72A,567942.676,133362.612,UU/MU,MONITORING
100,699-32-72B,567935,133362,UU/MU,MONITORING
101,699-33-75,566907.78,133662.48,UU/MU,MONITORING
102,699-34-61,571395.863,133809.862,UU/MU,MONITORING
103,699-34-88,563012,133950,UU/MU,MONITORING
104,699-35-59,571956,134096,UU/MU,MONITORING
105,699-35-78A,566063.586,134271.27,UU/MU,MONITORING
106,699-36-61A,571395.472,134557.106,UU/MU,MONITORING
107,699-36-66B,569731,134469,UU/MU,MONITORING
108,699-36-70A,568466.679,134308.839,UU/MU,MONITORING
109,699-36-70B,568427.79,134625.98,UU/MU,MONITORING
110,699-37-66,569730.32,134797.15,UU/MU,MONITORING
111,699-37-67,569520.26,134957.52,UU/MU,MONITORING
112,699-38-61,571219.097,134997.282,UU/MU,MONITORING
113,699-38-65,570090.185,135039.847,UU/MU,MONITORING
114,699-38-70B,568469.1,135331.04,UU/MU,MONITORING
115,699-38-70C,569084.11,135325.58,LU/CR,MONITORING
116,699-39-79,565891,135412,UU/MU,MONITORING
117,699-40-62,571164.26,135764.42,UU/MU,MONITORING
118,699-40-65,570057.48,135881.16,UU/MU,MONITORING
119,699-43-69,568967.03,136488.48,UU/MU,MONITORING
120,699-43-89,562917,136620,UU/MU,MONITORING
121,699-44-64,570390.65,136897.43,UU/MU,MONITORING
122,699-44-70B,568670.06,136810.37,LU/CR,MONITORING
123,699-44-70C,568659.403,136809.374,UU/MU,MONITORING
124,699-45-65,570000.82,137403.78,LU/CR,MONITORING
125,699-45-67C,569431.19,137131.75,LU/CR,MONITORING
126,699-45-69A,568729,137183,UU/MU,MONITORING
127,699-45-69C,568947.12,137233.81,LU/CR,MONITORING
128,699-46-61,571431.17,137442.38,UU/MU,MONITORING
129,699-46-61B,571445.857,137435.061,LU/CR,MONITORING
130,699-46-70,568697.17,137656.02,LU/CR,MONITORING
131,699-47-60,571474.38,137968.732,UU/MU,MONITORING
132,699-47-80AP,565562,137693,LU/CR,MONITORING
133,699-47-80AQ,565562,137693,LU/CR,MONITORING
134,699-48-71,568387.914,138056.941,UU/MU,MONITORING
135,699-48-77C,566468.954,138086.801,UU/MU,MONITORING
136,699-49-79,565771.123,138271.108,UU/MU,MONITORING
137,699-50-74,567359.52,138646.73,UU/MU,MONITORING
138,699-51-63,570664.4,139148.408,UU/MU,MONITORING
139,699-51-75,566978.076,138906.286,UU/MU,MONITORING
140,699-55-76,566723.421,140225.816,UU/MU,MONITORING
