Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W10-14,200-ZP-1,566663,136735,HEIS Database,206.7,148.8,124.4,136.6,HEIS Database,84.1,75.7,57.7,UU/MU,None,FALSE
299-W10-14,200-ZP-1,566017,136609,HEIS Database,213.6,83.4,77.3,80.4,HEIS Database,77.2,61.2,49,UU/MU,None,FALSE
299-W10-23,200-ZP-1,566824,136815,HEIS Database,206.7,137.9,127.2,132.5,HEIS Database,85.7,80.8,59.6,UU/MU,None,FALSE
299-W10-24,200-ZP-1,566885,136799,HEIS Database,209,138,127.3,132.6,HEIS Database,85.5,82.1,59.8,UU/MU,None,FALSE
299-W10-26,200-ZP-1,566843,136401,HEIS Database,204.7,138.5,127.8,133.2,HEIS Database,82.6,73.1,57.3,UU/MU,None,FALSE
299-W10-27,200-ZP-1,566844,136442,HEIS Database,204.9,137.5,126.9,132.2,HEIS Database,83.2,73.9,57.6,UU/MU,None,FALSE
299-W10-28,200-ZP-1,566702,136710,HEIS Database,206.1,137.5,126.8,132.1,HEIS Database,84.4,76.2,57.9,UU/MU,None,FALSE
299-W10-29,200-ZP-1,566083,136829,HEIS Database,211.6,136.9,126.3,131.6,HEIS Database,76.4,63.5,52.5,UU/MU,None,FALSE
299-W10-30,200-ZP-1,566083,136739,HEIS Database,210.9,137,126.3,131.7,HEIS Database,77,63,51.5,UU/MU,None,FALSE
299-W10-31,200-ZP-1,566266,136968,HEIS Database,209.7,136.5,125.8,131.2,HEIS Database,78.6,69.4,56.4,UU/MU,None,FALSE
299-W10-33,200-ZP-1,566773,136610,HEIS Database,205.2,86.3,80.2,83.3,HEIS Database,84.7,76,57.7,LU/CR,None,FALSE
299-W11-13,200-ZP-1,567099,136424,HEIS Database,211.3,144.8,125.2,135,HEIS Database,77.7,72.8,60.4,UU/MU,None,FALSE
299-W11-14,200-ZP-1,567458,136914,HEIS Database,219,142.8,123.6,133.2,HEIS Database,-9999,86.5,65.4,UU/MU,None,FALSE
299-W11-18, 200-ZP-1,567182,137161,HEIS Database,215.7,146.5,125.8,136.2,HEIS Database,-9999,86.7,67,UU/MU,None,FALSE
299-W11-22,200-ZP-1,567269,136673,HEIS Database,215.7,139.5,128.6,134.1,"Well Log-
299_W11_22
_NA_[W0034
135].pdf",-9999,79.7,60.6,UU/MU,None,FALSE
299-W11-26,200-ZP-1,567045,136564,HEIS Database,213.1,,,,"Well Log-299-W11-26_NA_[N07
374807].pdf",85.5,80.7,59.4,-,"Log reports no perforation or screened interval;
candidate for decommissioning;",TRUE
299-W11-33Q,200-ZP-1,567185,136844,HEIS Database,216.3,127.4,126.5,126.9,HEIS Database,-9999,85.8,62.2,UU/MU,None,FALSE
299-W11-39,200-ZP-1,566908,136780,HEIS Database,209.9,137.2,126.5,131.8,HEIS Database,85.4,82.5,59.8,UU/MU,None,FALSE
299-W11-40,200-ZP-1,566927,136710,HEIS Database,209.7,137.1,126.4,131.8,HEIS Database,85.5,81.8,59.4,UU/MU,None,FALSE
299-W11-41,200-ZP-1,566936,136678,HEIS Database,209.7,137.5,126.9,132.2,HEIS Database,85.5,81.3,59.2,UU/MU,None,FALSE
299-W11-42,200-ZP-1,566920,136746,HEIS Database,210.2,138,127.3,132.7,HEIS Database,85.4,82.3,59.6,UU/MU,None,FALSE
299-W11-43,200-ZP-1,567270,136971,HEIS Database,216.7,87.3,82.7,85,HEIS Database,-9999,88.7,64.7,LU/CR,None,FALSE
299-W11-45,200-ZP-1,566993,136776,HEIS Database,212.9,127.1,122.7,124.9,HEIS Database,-9999,83.8,60.2,UU/MU,None,FALSE
299-W11-46,200-ZP-1,566915,136773,HEIS Database,210.1,129.8,123.7,126.8,HEIS Database,85.4,82.6,59.8,UU/MU,None,FALSE
299-W11-47,200-ZP-1,566934,136681,HEIS Database,209.7,126.1,116.8,121.4,HEIS Database,85.5,81.4,59.2,UU/MU,None,FALSE
299-W11-48,200-ZP-1,566882,136846,HEIS Database,208.9,124.3,96.9,110.6,HEIS Database,85.6,82.5,60.3,UU/MU,None,FALSE
299-W11-49,200-ZP-1,567362,135925,HEIS Database,216,136.8,88,112.4,HEIS Database,83.3,73.6,55.6,UU/MU,None,FALSE
299-W11-50,200-ZP-1,566966,136757,HEIS Database,212.3,129.8,84.1,107,HEIS Database,-9999,83.5,59.9,UU/MU,None,FALSE
299-W11-87,200-ZP-1,568141,136609,HEIS Database,222.8,106.5,101.9,104.2,HEIS Database,-9999,90.2,71,UU/MU,None,FALSE
299-W11-88,200-ZP-1,567875,137113,HEIS Database,221.1,85.5,73.3,79.4,HEIS Database,-9999,89.2,72.2,LU/CR,None,FALSE
299-W11-90,200-ZP-1,567307,136520,HEIS Database,218.1,136,64.4,100.2,HEIS Database,-9999,67.6,59.9,UU/MU,None,FALSE
299-W11-92,200-ZP-1,566693,136352,HEIS Database,204.6,128.4,84.2,106.3,HEIS Database,81.5,69,54.9,UU/MU,None,FALSE
299-W11-96,200-ZP-1,567775,136772,HEIS Database,220.7,130.9,79.1,105,HEIS Database,-9999,86.1,66.8,UU/MU,None,FALSE
299-W12-2,200-ZP-1,568313,136610,HEIS Database,223.5,126.9,76.6,101.7,HEIS Database,-9999,93.2,70.7,UU/MU,None,FALSE
299-W12-3,200-ZP-1,568322,136998,HEIS Database,224.2,129.7,76.4,103,HEIS Database,-9999,97.3,72.4,UU/MU,None,FALSE
299-W12-4,200-ZP-1,568327,136364,HEIS Database,223.5,114.1,71.5,92.8,HEIS Database,-9999,92.4,67.1,UU/MU,None,FALSE
299-W13-1,200-ZP-1,568149,136049,HEIS Database,222.8,103.7,93,98.3,HEIS Database,-9999,92.4,62,UU/MU,None,FALSE
299-W13-2P,200-UP-1,568833,135819,HEIS Database,225.5,128.6,122.5,125.5,HEIS Database,101.9,98.5,60.8,UU/MU,None,FALSE
299-W13-2Q,200-UP-1,568833,135819,HEIS Database,225.5,110.3,104.2,107.2,HEIS Database,101.9,98.5,60.8,UU/MU,None,FALSE
299-W14-11,200-ZP-1,566902,136288,HEIS Database,204.4,124.6,121.6,123.1,HEIS Database,81,72,57,UU/MU,None,FALSE
299-W14-13,200-ZP-1,566902,136282,HEIS Database,204.3,138.3,127.6,133,HEIS Database,81,71.9,56.9,UU/MU,None,FALSE
299-W14-14,200-ZP-1,566898,136181,HEIS Database,204.6,138.5,127.8,133.1,HEIS Database,81.2,70.5,55.5,UU/MU,None,FALSE
299-W14-15,200-ZP-1,566900,136231,HEIS Database,204.6,137.6,127,132.3,HEIS Database,81,71.2,56.2,UU/MU,None,FALSE
299-W14-16,200-ZP-1,567001,136318,HEIS Database,205.4,137.4,126.8,132.1,HEIS Database,79.9,72.5,58.7,UU/MU,None,FALSE
299-W14-17,200-ZP-1,567007,136218,HEIS Database,205.1,137.4,126.8,132.1,HEIS Database,79.9,71.3,57.4,UU/MU,None,FALSE
299-W14-18,200-ZP-1,566897,136344,HEIS Database,204.3,137.8,127.1,132.5,HEIS Database,81.5,72.7,57.5,UU/MU,None,FALSE
