NAME,GWIA,easting_m_check,northing_m_check,Final_Assignment,HSU_source,elevation_m,tos_m,bos_m,mos_m,TYPE_scripts
299-W10-1,200-ZP,566663.096,136734.565,UU/MU,SGW-38815,207.459,149.547,125.163,137.355,MONITORING
299-W10-14,200-ZP,566017.194,136608.895,LU/CR,SGW-38815,213.572,83.4224,77.3264,80.3744,MONITORING
299-W10-20,200-ZP,566249.695,136866.607,UU/MU,CP-67635,209.75,142.17584,136.11032,139.14308,MONITORING
299-W10-23,200-ZP,566823.729,136815.339,UU/MU,SGW-38815,206.69,137.872256,127.173776,132.523016,MONITORING
299-W10-24,200-ZP,566885.426,136798.78,UU/MU,SGW-38815,208.978,137.977888,127.282456,132.630172,MONITORING
299-W10-26,200-ZP,566843.396,136400.594,UU/MU,SGW-38815,204.673,138.519208,127.823776,133.171492,MONITORING
299-W10-27,200-ZP,566843.969,136441.778,UU/MU,SGW-38815,204.899,137.5382,126.8702,132.2042,MONITORING
299-W10-28,200-ZP,566701.55,136709.93,UU/MU,SGW-38815,206.1,137.462088,126.794088,132.128088,MONITORING
299-W10-29,200-ZP,566082.98,136828.74,UU/MU,SGW-38815,211.622,136.942952,126.274952,131.608952,MONITORING
299-W10-30,200-ZP,566082.78,136739.33,UU/MU,SGW-38815,210.864,136.99572,126.32772,131.66172,MONITORING
299-W10-31,200-ZP,566266.44,136968.34,UU/MU,SGW-38815,209.666,136.535336,125.842952,131.189144,MONITORING
299-W10-33,200-ZP,566772.75,136610.19,UU/MU,SGW-38815,205.176,86.304,80.208,83.256,MONITORING
299-W10-200,200-ZP,566570.23,136463.41,UU/MU,CP-67635,205.961,133.47956,125.850416,129.664988,MONITORING
299-W10-201,200-ZP,566017.2,136957.24,UU/MU,CP-67635,213.454,137.89408,130.27408,134.08408,MONITORING
299-W10-202,200-ZP,566015.96,136906.28,UU/MU,CP-67635,213.605,137.16116,129.51068,133.33592,MONITORING
299-W10-203,200-ZP,566018.8,136710.81,UU/MU,CP-67635,212.894,137.12072,129.47024,133.29548,MONITORING
299-W10-204,200-ZP,566256.17,136901.49,UU/MU,CP-67635,209.801,136.584992,128.9528,132.768896,MONITORING
299-W10-205,200-ZP,566785.69,137184.87,UU/MU,CP-67635,208.226,132.934304,125.296016,129.11516,MONITORING
299-W11-13,200-ZP,567099,136424,UU/MU,ECF-200ZP1-22-0098,211.3,144.8,125.2,135,MONITORING
299-W11-14,200-ZP,567458,136914,UU/MU,ECF-200ZP1-22-0098,219,142.8,123.6,133.2,MONITORING
299-W11-18,200-ZP,567181.916,137161.484,UU/MU,SGW-38815,216.537,147.3474,126.621,136.9842,MONITORING
299-W11-22,200-ZP,567269,136673,UU/MU,ECF-200ZP1-22-0098,215.7,139.5,128.6,134.1,MONITORING
299-W11-26,200-ZP,567045,136564,-,ECF-200ZP1-22-0098,213.1,No Screened Interval,,,MONITORING
299-W11-33Q,200-ZP,567184.869,136844.366,UU/MU,SGW-38815,216.346,127.365736,126.497056,126.931396,MONITORING
299-W11-39,200-ZP,566908.383,136779.917,UU/MU,SGW-38815,209.885,137.15972,126.473432,131.816576,MONITORING
299-W11-40,200-ZP,566926.838,136709.666,UU/MU,SGW-38815,209.696,137.129216,126.449024,131.78912,MONITORING
299-W11-41,200-ZP,566935.51,136677.781,UU/MU,SGW-38815,209.667,137.52084,126.85284,132.18684,MONITORING
299-W11-42,200-ZP,566920.435,136745.665,UU/MU,SGW-38815,210.179,138.014552,127.343504,132.679028,MONITORING
299-W11-43,200-ZP,567269.74,136971.04,LU/CR,SGW-38815,216.733,87.28444,82.71244,84.99844,MONITORING
299-W11-45,200-ZP,566992.84,136775.64,UU/MU,SGW-38815,212.884,127.149856,122.702824,124.92634,MONITORING
299-W11-46,200-ZP,566914.86,136773.27,UU/MU,ECF-200ZP1-22-0098,210.116,129.83168,123.73568,126.78368,MONITORING
299-W11-47,200-ZP,566933.82,136680.7,UU/MU,SGW-38815,209.655,126.066648,116.761104,121.413876,MONITORING
299-W11-48,200-ZP,566881.97,136846.18,LU/CR,SGW-38815,208.897,124.333288,96.886048,110.609668,MONITORING
299-W11-49,200-ZP,567361.5,135924.72,UU/MU,SGW-38815,216.009,136.761,87.993,112.377,EXTRACTION
299-W11-50,200-ZP,566966.27,136756.64,UU/MU,SGW-38815,212.282,129.84884,84.14408,106.99646,EXTRACTION
299-W11-87,200-ZP,568141.08,136608.7,LU/CR,SGW-38815,222.816,106.452504,101.874408,104.163456,MONITORING
299-W11-88,200-ZP,567874.67,137113.09,LU/CR,SGW-38815,221.115,85.44852,73.25652,79.35252,MONITORING
299-W11-90,200-ZP,567306.79,136519.66,UU/MU,SGW-38815,218.146,136.011544,64.365256,100.1884,EXTRACTION
299-W11-92,200-ZP,566692.86,136351.78,UU/MU,SGW-38815,204.578,128.378,84.182,106.28,EXTRACTION
299-W11-96,200-ZP,567774.83,136772.24,UU/MU,SGW-38815,220.744,130.94992,79.13392,105.04192,EXTRACTION
299-W11-97,200-UP,568317.57,135875.91,UU/MU,SGW-38815,223.462,121.289992,67.946944,94.618468,EXTRACTION
299-W11-98,200-ZP,567596.33,136479.36,LU/CR,CP-67635,219.951,73.863408,61.66836,67.765884,MONITORING
299-W11-99,200-ZP,567615.778,136481.217,LU/CR,CP-67635,220.068,113.384952,104.234856,108.809904,MONITORING
299-W11-100,200-ZP,567605.826,136490.562,LU/CR,CP-67635,219.85,97.893424,88.703704,93.298564,MONITORING
299-W11-106,200-ZP,568036.76,136481.53,UU/MU,CP-67635,223.426,133.726408,75.799168,104.762788,EXTRACTION
299-W11-107,200-ZP,567573.99,136583.6,LU/CR,CP-67635,219.731,132.966632,67.428536,100.197584,EXTRACTION
299-W11-116,200-ZP,567928.757,136407.124,UU/MU,CP-67635,222.31,126.249232,62.2138,94.231516,EXTRACTION
299-W12-2,200-ZP,568312.67,136610.25,UU/MU,SGW-38815,223.478,126.853352,88.747256,107.800304,EXTRACTION
299-W12-3,200-ZP,568321.53,136998.09,UU/MU,SGW-38815,224.167,129.715576,76.378624,103.0471,EXTRACTION
299-W12-4,200-ZP,568327.41,136363.65,UU/MU,SGW-38815,223.485,114.09228,71.48124,92.78676,EXTRACTION
299-W12-5,200-ZP,568101.7,136735.54,UU/MU,CP-67635,223.373,133.50272,70.991288,102.247004,EXTRACTION
299-W12-6,200-ZP,568139.873,136521.266,LU/CR,CP-67635,222.678,124.544592,68.123064,96.333828,EXTRACTION
299-W13-1,200-ZP,568148.74,136048.6,UU/MU,SGW-38815,222.811,103.652488,92.990584,98.321536,MONITORING
299-W13-2P,200-UP,568832.59,135819.18,UU/MU,ECF-200ZP1-22-0098,225.493,128.5666,122.4706,125.5186,MONITORING
299-W13-2Q,200-UP,568832.59,135819.18,UU/MU,ECF-200ZP1-22-0098,225.493,110.2786,104.1826,107.2306,MONITORING
299-W13-3,200-UP,568846.25,135819.64,LU/CR,CP-67635,225.575,81.407648,72.257552,76.8326,MONITORING
299-W13-5,200-UP,568110.39,135702.89,LU/CR,CP-67635,222.043,136.48564,58.789072,97.637356,EXTRACTION
299-W14-11,200-ZP,566901.69,136287.62,UU/MU,SGW-38815,204.383,124.61684,121.56884,123.09284,MONITORING
299-W14-13,200-ZP,566902,136282,UU/MU,ECF-200ZP1-22-0098,204.3,138.3,127.6,133,MONITORING
299-W14-14,200-ZP,566898.386,136181.048,UU/MU,SGW-38815,204.621,138.485496,127.8114,133.148448,MONITORING
299-W14-15,200-ZP,566899.685,136230.654,UU/MU,SGW-38815,204.584,137.6042,126.975824,132.290012,MONITORING
299-W14-16,200-ZP,567001.334,136318.482,UU/MU,SGW-38815,205.368,137.415888,126.766176,132.091032,MONITORING
299-W14-17,200-ZP,567006.773,136218.349,UU/MU,SGW-38815,205.079,137.431688,126.757592,132.09464,MONITORING
299-W14-18,200-ZP,566897.47,136344.15,UU/MU,SGW-38815,204.263,137.798312,127.13336,132.465836,MONITORING
299-W14-19,200-ZP,566898.6,136135.06,UU/MU,SGW-38815,204.899,136.7762,126.1082,131.4422,MONITORING
299-W14-20,200-ZP,566909.22,136284.47,UU/MU,SGW-38815,204.399,129.774816,81.022056,105.398436,EXTRACTION
299-W14-21,200-ZP,567721.52,135890.01,UU/MU,SGW-38815,219.32,124.81676,62.348,93.58238,EXTRACTION
299-W14-22,200-ZP,568324.69,136117.29,UU/MU,SGW-38815,223.622,126.448712,68.515376,97.482044,EXTRACTION
299-W14-24,200-ZP,567161.35,135839.99,LU/CR,CP-67635,212.955,65.526288,59.42724,62.476764,MONITORING
299-W14-25,200-ZP,567169.051,135845.699,UU/MU,CP-67635,213.005,95.559464,86.394128,90.976796,MONITORING
299-W14-28,200-ZP,567471.073,136463.557,UU/MU,CP-67635,219.636,126.513504,62.459784,94.486644,EXTRACTION
299-W14-29,200-ZP,568068.098,136864.485,LU/CR,CP-67635,221.898,124.166928,70.829976,97.498452,EXTRACTION
299-W14-30,200-ZP,568093.697,136358.527,LU/CR,CP-67635,223.064,124.8422,62.321624,93.581912,EXTRACTION
299-W14-31,200-ZP,567778.283,136542.037,LU/CR,CP-67635,221.318,125.434016,64.434392,94.934204,EXTRACTION
299-W14-32,200-ZP,568127.499,136054.322,LU/CR,CP-67635,222.787,124.647496,63.693592,94.170544,EXTRACTION
299-W14-71,200-UP,567733.43,135567.81,LU/CR,SGW-38815,218.639,93.460688,88.894784,91.177736,MONITORING
299-W14-72,200-ZP,567328.44,135941.28,LU/CR,SGW-38815,215.667,89.476752,84.904752,87.190752,MONITORING
299-W14-73,200-ZP,567358.99,136204.58,UU/MU,SGW-38815,216.725,128.08916,67.09868,97.59392,EXTRACTION
299-W14-74,200-ZP,567781.48,136381.29,UU/MU,SGW-38815,221.443,127.028152,70.618816,98.823484,EXTRACTION
299-W14-75,200-ZP,568000.13,136204.5,LU/CR,CP-67635,222.414,118.937448,76.271544,97.604496,EXTRACTION
299-W15-1,200-ZP,566554,135943,UU/MU,ECF-200ZP1-22-0098,206.4,136.1,124,130,MONITORING
299-W15-3,200-ZP,566729,136371,UU/MU,ECF-200ZP1-22-0098,205.2,144.3,133.3,138.8,MONITORING
299-W15-7,200-ZP,566675.883,135920.204,UU/MU,SGW-38815,204.249,148.7754,109.42572,129.10056,MONITORING
299-W15-11,200-ZP,566412.296,136000.716,UU/MU,SGW-38815,208.261,152.4826,117.7354,135.109,MONITORING
299-W15-15,200-ZP,566088.805,135751.493,UU/MU,CP-67635,213.162,145.1916,135.438,140.3148,MONITORING
299-W15-17,200-ZP,566306.891,135718.958,LU/CR,CP-67635,209.236,80.458,77.41,78.934,MONITORING
299-W15-30,200-ZP,566304.617,135748.936,UU/MU,SGW-38815,209.277,142.806216,130.6386,136.722408,MONITORING
299-W15-31A,200-ZP,566377,135856,UU/MU,ECF-200ZP1-22-0098,207.7,142.9,130.7,136.8,MONITORING
299-W15-33,200-ZP,566433.21,135966.08,UU/MU,ECF-200ZP1-22-0098,206.831,142.2896,127.906088,135.097844,MONITORING
299-W15-34,200-ZP,566613,135960,UU/MU,ECF-200ZP1-22-0098,204.9,140.7,125.5,133.1,MONITORING
