WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,STATUS_CHANGE_DATE,ASSIGNED_TO,ASSIGNED_DATE,DRILL_DATE,DRILL_DEPTH,DRILL_DEPTH_UNITS,CONST_DATE,DRILL_COMMENT,DRILL_SOURCE,DRILL_SOURCE_DATE,REMEDIATED_FLAG,DECOMMISSION_COMMENT,DECOMMISSION_DATE,DECOMMISSION_SOURCE,DECOMMISSION_SOURCE_DATE,CONST_DEPTH,CONST_DEPTH_UNITS,CONST_SOURCE,CONST_SOURCE_DATE,DEPTH_TO_BOTTOM,DEPTH_TO_BOTTOM_UNITS,DEPTH_TO_WATER,DEPTH_TO_WATER_UNITS,DRY_WELL,WELL_NAME_SYNONYMS,ECOLOGY_NAME,WELL_PROJECTS,WELL_PROJECT_PURPOSES,WS_SIZE_DEPTH_TOP_BOTTOM_UNITS,WC_SIZE_DEPTH_TOP_BOTTOM_UNITS,WP_CUTS_DEPTH_TOP_BOTTOM_UNITS,DOCUMENTED_PROGRAMS,WASTE_MANAGEMENT_PLANS,WASTE_DISPOSAL_LOCATIONS,WASTE_STORAGE_LOCATIONS,WMP_RELATED_OPERABLE_UNITS,SITE_OU_COMMENT,WASTE_SITES_0M,OU_0M,WASTE_SITES_50F,OU_50F,WASTE_SITES_100F,OU_100F,WASTE_SITES_50M,OU_50M,WASTE_SITES_100M,OU_100M,DATE_LAST_INSPECTED,INSPECTION_TYPE,DATE_LAST_SAMPLED_GW,DATE_LAST_SAMPLED_MM,DATE_LAST_SAMPLED_SO,DATE_LAST_SAMPLED_SG,DATE_LAST_SAMPLED,DATE_LAST_ROUTINE_MAINTENANCE,DATE_LAST_MAINTENANCE,DATE_LAST_WLM,TANK_FARMS,PUBLIC_LAND_SURVEY_SYSTEM,CLOSURE_ZONE,GW_AREA_OF_INTEREST,MONUMENT_LOC,ESTIMATED_QTR_QTR_SEC,HORIZ_SURVEY_POINT_DESC,HORIZ_SURVEY_DATE,NORTHING,EASTING,DISC_X,DISC_Y,HORIZ_SURVEY_UNITS,HORIZ_DATUM,HORIZ_REVIEW_QUALIFIER,ELEV_SURVEY_POINT_DESC,ELEV_SURVEY_DATE,ELEVATION,DISC_Z,ELEV_SURVEY_UNITS,ELEV_DATUM,ELEV_REVIEW_QUALIFIER,DISTRICT_ID,SORT_NAME
A4753,299-E24-18,GROUNDWATER WELL,,IN-USE,7/22/1997,"SCHATZ, AL",12/1/1992,9/19/1988,330,ft,9/19/1988,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/3/1993,,,,,,330,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/3/1993,,,98.95,m,,E24-18,,"2PO1, IDF (200-E-106 Trench), PUREX","DOWNGRADIENT, GROUNDWATER SAMPLE","4in, 306.5ft - 327.5ft","4in, -.5ft - 306.5ft",,,Waste Control Plan for the 200-PO-1 Operable Unit/REV NUM 1,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-PO-1,,,,,,,,,,"200-E-106, 200-E-12, 218-E-1",Not Applicable,1/7/2025,SAMPLING INSPECTION,1/7/2025,,,,1/7/2025,8/25/1997,1/7/2020,6/26/2025,,"T12N, R26E, S11, NW 1/4, NE 1/4",ILAW,200-PO,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,135469.764,574647.088,,,m,NAD83(91),,"Top of outer casing, south edge",2/23/2008,220.349,219.44,m,NAVD88,,200-E,1-0299-E0024A-A0018A
A4881,299-E34-6,GROUNDWATER WELL,,DECOMMISSIONED-V,6/16/2004,"SCHATZ, AL",12/1/1992,8/19/1987,195,ft,8/19/1987,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/13/1993,,,6/16/2004,,,195,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/13/1993,196.1,ft,,,Y,,,,,"4in, 175ft - 195ft","4in, 0ft - 175ft",,,Waste Control Plan for the 200-BP-5 OU/REV NUM 3,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-BP-5,,,,218-E-12B ANNEX,Not Applicable,218-E-12B ANNEX,Not Applicable,"218-E-12B ANNEX, 600-292-PL",Not Applicable,"218-E-12B ANNEX, 600-292-PL",Not Applicable,9/8/2003,MAINTENANCE INSPECTION,2/4/1992,,,,2/4/1992,8/19/1987,4/21/2003,12/10/1993,,"T13N, R26E, S35, SW 1/4, NE 1/4",Solid Waste,200-BP,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,137740.727,574462.332,,,m,NAD83(91),,"Top of casing, north edge, stamped X",7/1/1994,183.312,182.929,m,NAVD88,,200-E,1-0299-E0034A-A0006A
A4763,299-E25-15,GROUNDWATER WELL,,IN-USE,9/3/2008,"SCHATZ, AL",12/1/1992,7/29/1969,340,ft,8/14/1969,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/7/1993,,,,,,340,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/7/1993,295,ft,284.45,ft,N,"10-00-06, 299-E25-16",,,,,"8in, 0ft - 340ft","0ft - 20ft / 2, 90ft - 260ft / 6, 270ft - 338ft",,,,,,,200-E-131-B,WMA A/AX,"200-E-131-B, 200-E-211-PL, 200-E-288-PL",WMA A/AX,"200-E-131-B, 200-E-211-PL, 200-E-234-PL-B, 200-E-286, 200-E-288-PL, 241-A-102, 241-A-103, 241-A-B, 242-A",WMA A/AX,"200-E-131-B, 200-E-210-PL, 200-E-211-PL, 200-E-229-PL, 200-E-234-PL-B, 200-E-286, 200-E-288-PL, 200-E-307, 200-E-341-PL, 241-A-101, 241-A-102, 241-A-103, 241-A-105, 241-A-106, 241-A-350, 241-A-A, 241-A-B, 242-A, 600-291-PL",WMA A/AX,"200-E-131-A, 200-E-131-B, 200-E-131-C, 200-E-134, 200-E-143-PL-A, 200-E-148-PL-C, 200-E-151-PL-C, 200-E-152-PL-C, 200-E-164-PL-A, 200-E-167-PL, 200-E-182-PL-B, 200-E-187-PL-B, 200-E-200-PL, 200-E-207-PL-B, 200-E-210-PL, 200-E-211-PL, 200-E-229-PL, 200-E-234-PL-B, 200-E-27, 200-E-283-PL, 200-E-286, 200-E-288-PL, 200-E-307, 200-E-309-PL-B, 200-E-325-PL-C, 200-E-340-PL-A, 200-E-341-PL, 200-E-348-PL, 216-A-16, 216-A-17, 216-A-23A, 216-A-23B, 241-A-101, 241-A-102, 241-A-103, 241-A-104, 241-A-105, 241-A-106, 241-A-152, 241-A-153, 241-A-350, 241-A-431, 241-A-501, 241-A-A, 241-A-B, 242-A, 2607-E12, 2607-E12:1, 2607-E14, 600-291-PL, UPR-200-E-125, UPR-200-E-126, UPR-200-E-47, UPR-200-E-48",Not Applicable,9/19/2003,MAINTENANCE INSPECTION,5/10/1976,,,,5/10/1976,7/29/1969,9/19/2003,6/23/1993,241A,"T12N, R26E, S2, SE 1/4, NE 1/4",WTP/A Farm,200-PO,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,136018.648,575368.818,,,m,NAD83(91),,"Top of casing, north edge, stamped X",6/8/1994,211.305,,m,NAVD88,,200-E,1-0299-E0025A-A0015A
A4764,299-E25-18,GROUNDWATER WELL,,IN-USE,7/22/1997,"SCHATZ, AL",12/1/1992,5/24/1976,300,ft,8/6/1976,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/7/1993,,,,,,300,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/7/1993,,,86.636,m,,,,2PO1,GROUNDWATER SAMPLE,,"8in, 0ft - 150ft / 6in, 0ft - 300ft",269ft - 294ft,,Waste Control Plan for the 200-PO-1 Operable Unit/REV NUM 1,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-PO-1,,,,216-A-37-1,200-EA-1,"200-E-232-PL-C, 216-A-37-1",200-IS-1,"200-E-232-PL-C, 200-E-286, 216-A-37-1",200-IS-1,"200-E-232-PL-B, 200-E-232-PL-C, 200-E-233-PL, 200-E-286, 216-A-30, 216-A-37-1, 216-A-42, 2607-E10, GTF",200-IS-1,3/31/2025,SAMPLING INSPECTION,3/31/2025,,,,3/31/2025,12/3/2007,2/2/2021,3/31/2025,,"T12N, R26E, S1, SW 1/4, SW 1/4",PUREX,200-PO,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,135699.304,575817.379,,,m,NAD83(91),,"Top of casing, north edge, stamped X",7/8/1994,208.06,,m,NAVD88,,200-E,1-0299-E0025A-A0018A
A4730,299-E17-12,GROUNDWATER WELL,,IN-USE,7/22/1997,"SCHATZ, AL",12/1/1992,1/6/1986,340,ft,3/14/1986,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/3/1993,,,,,,340,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/3/1993,,,99.702,m,,,,2PO1,GROUNDWATER SAMPLE,"6in, 313ft - 334ft","8in, 0ft - 205ft / 6in, -2.7ft - 315ft","2, 135ft - 174ft / 4, 175ft - 203ft",,Waste Control Plan for the 200-PO-1 Operable Unit/REV NUM 1,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-PO-1,,,,,,216-A-45,200-EA-1,216-A-45,200-EA-1,"200-E-231-PL, 216-A-45",200-IS-1,3/5/2025,SAMPLING INSPECTION,3/5/2025,,,,3/5/2025,1/6/1986,3/25/2021,3/5/2025,,"T12N, R26E, S11, NE 1/4, NW 1/4",PUREX,200-PO,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,135125.906,574905.372,,,m,NAD83(91),,"Top of casing, north edge, stamped X",6/24/1994,221.092,220.264,m,NAVD88,,200-E,1-0299-E0017A-A0012A
A4829,299-E32-1,GROUNDWATER WELL,,DECOMMISSIONED-V,5/8/2001,"SCHATZ, AL",12/1/1992,8/20/1957,283,ft,8/20/1957,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,,DECOMMISSIONED-V,5/8/2001,,,283,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,,,,,,,,,,,"8in, 0ft - 275ft","2, 260ft - 271ft / 6, 241ft - 260ft",,,,,,,,,,,,,,,,,5/8/2001,MAINTENANCE INSPECTION,3/26/1992,,,,3/26/1992,8/20/1957,8/20/1957,6/14/1996,,"T13N, R26E, S34, SW 1/4, NW 1/4",Solid Waste,200-BP,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,137645.476,572611.607,,,m,NAD83(91),,"Top of casing, north edge, stamped X",7/5/1994,201.003,200.579,m,NAVD88,,200-E,1-0299-E0032A-A0001A
A4831,299-E32-3,GROUNDWATER WELL,,IN-USE,7/22/1997,"SCHATZ, AL",12/1/1992,9/30/1987,304,ft,9/30/1987,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,,,,,,304,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,,,85.862,m,,,,"LLWMA(1), LLWMA(1)-PA, LLWMA-1, SST(B)","GROUNDWATER SAMPLE, UPGRADIENT","4in, 266.2ft - 286.2ft","4in, -1.2ft - 266.2ft",,,Waste Control Plan for the 200-BP-5 OU/REV NUM 3,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-BP-5,,218-E-10,200-SW-2,218-E-10,200-SW-2,218-E-10,200-SW-2,218-E-10,200-SW-2,218-E-10,200-SW-2,4/3/2025,SAMPLING INSPECTION,4/3/2025,,,,4/3/2025,6/6/1998,11/14/2012,4/3/2025,,"T13N, R26E, S34, SW 1/4, SW 1/4",Solid Waste,200-BP,Hanford (Not in Monument),,Center of casing (assumed),9/30/1994,137383.996,572600.614,,,m,NAD83(91),,"Top of casing, north edge, stamped X",7/5/1994,207.294,206.93,m,NAVD88,,200-E,1-0299-E0032A-A0003A
A4840,299-E33-13,GROUNDWATER WELL,,IN-USE,7/22/1997,"SCHATZ, AL",12/1/1992,10/19/1953,235,ft,10/28/1953,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,,,,,,235,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,9/10/1993,235.6,ft,232.5,ft,Y,"241-B-17, 299-33-13",,"2BP5, SST(B)",GROUNDWATER SAMPLE,,"8in, 2.5ft - 235ft / 4in, 2.3ft - 206.5ft","4, 210ft - 235ft",,Waste Control Plan for the 200-BP-5 OU/REV NUM 3,,PO-1/BP-5 CONSOLIDATED WASTE STORAGE AREA,200-BP-5,,200-E-132,WMA B/BX/BY,"200-E-114-PL-A, 200-E-121, 200-E-132",200-IS-1,"200-E-114-PL-A, 200-E-114-PL-B, 200-E-121, 200-E-132, 200-E-208-PL",200-IS-1,"200-E-114-PL-A, 200-E-114-PL-B, 200-E-121, 200-E-132, 200-E-208-PL",200-IS-1,"200-E-114-PL-A, 200-E-114-PL-B, 200-E-121, 200-E-132, 200-E-208-PL, 200-E-219-PL, 200-E-219-PL:1, 200-E-220-PL, 200-E-220-PL:1, 200-E-284, 216-B-43, 216-B-44, 216-BY-201, 241-BY-102, 241-BY-103, 241-BY-106, UPR-200-E-134, UPR-200-E-9",200-IS-1,11/29/2016,MAINTENANCE INSPECTION,5/9/2012,,,,5/9/2012,11/15/2007,11/29/2016,7/28/2017,,"T13N, R26E, S34, SE 1/4, NE 1/4",B Farm,200-BP,Hanford (Not in Monument),,Center of casing (assumed),1/15/1993,137584.387,573706.488,,,m,NAD83(91),,"Top of casing, north edge, stamped X",1/14/1993,192.549,191.798,m,NAVD88,,200-E,1-0299-E0033A-A0013A
A4846,299-E33-2,GROUNDWATER WELL,,IN-USE,2/3/2005,"SCHATZ, AL",12/1/1992,10/15/1954,243,ft,11/2/1954,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,10/15/1954,,,,,,242,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,11/2/1954,236.9,ft,234.97,ft,,241-BY-10,,SST(B),GROUNDWATER SAMPLE,,"4in, 0ft - 231ft","4, 220ft - 223ft",,,,,,,216-B-44,200-DV-1,"200-E-219-PL, 200-E-219-PL:1, 216-B-44",200-IS-1,"200-E-219-PL, 200-E-219-PL:1, 216-B-43, 216-B-44, 216-B-45, 216-B-48",200-IS-1,"200-E-219-PL, 200-E-219-PL:1, 216-B-43, 216-B-44, 216-B-45, 216-B-46, 216-B-47, 216-B-48, 216-B-49, 216-B-50, 216-BY-201, UPR-200-E-9",200-IS-1,"200-E-114-PL-A, 200-E-132, 200-E-181-PL, 200-E-208-PL, 200-E-219-PL, 200-E-219-PL:1, 200-E-219-PL:2, 200-E-220-PL, 200-E-220-PL:1, 216-B-43, 216-B-44, 216-B-45, 216-B-46, 216-B-47, 216-B-48, 216-B-49, 216-B-50, 216-BY-201, 241-BY-106, UPR-200-E-89, UPR-200-E-9",200-IS-1,11/18/2010,MAINTENANCE INSPECTION,6/1/2009,,,,6/1/2009,10/15/1954,11/18/2010,6/1/2009,,"T13N, R26E, S34, SE 1/4, NE 1/4",B Farm,200-BP,Hanford (Not in Monument),,Center of casing (assumed),5/8/1993,137641.271,573617.005,,,m,NAD83(91),,"Top of casing, north edge, stamped X",4/21/1993,193.582,,m,NAVD88,,200-E,1-0299-E0033A-A0002A
A4935,299-W18-23,GROUNDWATER WELL,,IN-USE,7/28/2008,"SCHATZ, AL",12/1/1992,7/1/1987,255,ft,7/1/1987,,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,4/19/1993,,,,,,255,ft,WELL CONSTRUCTION & COMPLETION SUMMARY/ ASBUILT,4/19/1993,,,,m,Y,299-W-18-23,,"200-ZP-1 Operable Unit, 2ZP1-LOI, LLWMA(4), LLWMA(4)-PA",GROUNDWATER SAMPLE,"4in, 220.3ft - 251ft / 8in, 241ft - 251ft","4in, 0ft - 220.3ft",,,"Interim Action Waste Management Plan for the 200-UP-1 Operable Unit/REV NUM 6, Waste Management Plan for the Expedited Response Action for 200 West Area Carbon Tetrachloride Plume and the 200-ZP-1 and 200/REV NUM 8",,200-PW-1 CENTRAL STORAGE AREA,"200-UP-1, 200-ZP-1",,,,"218-W-4C, CWC, UPR-200-W-71",200-SW-2,"218-W-4C, CWC, UPR-200-W-71, Z PLANT BP",200-SW-2,"218-W-4C, CWC, UPR-200-W-37, UPR-200-W-71, Z PLANT BP",200-SW-2,"218-W-4C, CWC, UPR-200-W-37, UPR-200-W-71, Z PLANT BP",200-SW-2,1/14/2025,SAMPLING INSPECTION,5/14/2008,,,,5/14/2008,4/9/1998,8/10/2016,1/14/2025,,"T12N, R25E, S12, NW 1/4, NW 1/4",WM,200-ZP,Hanford (Not in Monument),,Center of casing (assumed),8/28/1996,135342.438,566084.533,566084.29,135342.43,m,NAD83(91),,"Top of casing, stamped X",8/28/1996,213.481,212.854,m,NAVD88,,200-W,1-0299-W0018A-A0023A
