WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
A4753,299-E24-18,GROUNDWATER WELL,,IN-USE,135469.764,574647.088,1-0299-E0024A-A0018A
A4881,299-E34-6,GROUNDWATER WELL,,DECOMMISSIONED-V,137740.727,574462.332,1-0299-E0034A-A0006A
A4763,299-E25-15,GROUNDWATER WELL,,IN-USE,136018.648,575368.818,1-0299-E0025A-A0015A
A4764,299-E25-18,GROUNDWATER WELL,,IN-USE,135699.304,575817.379,1-0299-E0025A-A0018A
A4730,299-E17-12,GROUNDWATER WELL,,IN-USE,135125.906,574905.372,1-0299-E0017A-A0012A
A4829,299-E32-1,GROUNDWATER WELL,,DECOMMISSIONED-V,137645.476,572611.607,1-0299-E0032A-A0001A
A4831,299-E32-3,GROUNDWATER WELL,,IN-USE,137383.996,572600.614,1-0299-E0032A-A0003A
A4840,299-E33-13,GROUNDWATER WELL,,IN-USE,137584.387,573706.488,1-0299-E0033A-A0013A
A4846,299-E33-2,GROUNDWATER WELL,,IN-USE,137641.271,573617.005,1-0299-E0033A-A0002A
A4935,299-W18-23,GROUNDWATER WELL,,IN-USE,135342.438,566084.533,1-0299-W0018A-A0023A
A4938,299-W18-26,GROUNDWATER WELL,,DECOMMISSIONED-V,135491.707,566091.276,1-0299-W0018A-A0026A
A4953,299-W19-27,GROUNDWATER WELL,,DECOMMISSIONED-V,134930.575,567014.387,1-0299-W0019A-A0027A
A5435,299-W6-10,GROUNDWATER WELL,,IN-USE,137453.05,567413.34,1-0299-W0006A-A0010A
A5437,299-W6-12,GROUNDWATER WELL,,IN-USE,137635.159,566915.534,1-0299-W0006A-A0012A
A5441,299-W18-32,GROUNDWATER WELL,,IN-USE,134975.641,566515.584,1-0299-W0018A-A0032A
A5463,699-34-61,GROUNDWATER WELL,,IN-USE,133809.862,571395.863,1-0699-A0034-A0061A
A5464,699-38-61,GROUNDWATER WELL,,IN-USE,134997.282,571219.097,1-0699-A0038-A0061A
A4850,299-E33-26,GROUNDWATER WELL,,IN-USE,137681.471,573333.348,1-0299-E0033A-A0026A
A4959,299-W19-6,GROUNDWATER WELL,,IN-USE,134693.76,567133.33,1-0299-W0019A-A0006A
A4968,299-W22-26,GROUNDWATER WELL,,IN-USE,134465.229,567205.187,1-0299-W0022A-A0026A
A5111,699-28-52A,GROUNDWATER WELL,,IN-USE,132109.32,574187.625,1-0699-A0028-A0052A
A5112,699-29-70AP,HOSTED PIEZOMETER,A8491,IN-USE,132162.002,568465.373,1-0699-A0029-A0070AP
A5126,699-32-22A,GROUNDWATER WELL,,IN-USE,133256.813,583197.134,1-0699-A0032-A0022A
A5130,699-32-72A,PIEZOMETER HOST,,IN-USE,133362.612,567942.676,1-0699-A0032-A0072A
A4999,299-W6-4,GROUNDWATER WELL,,IN-USE,137290.49,567132.25,1-0299-W0006A-A0004A
A5005,299-W7-10,GROUNDWATER WELL,,IN-USE,137457.533,566858.212,1-0299-W0007A-A0010A
A5008,299-W7-2,GROUNDWATER WELL,,IN-USE,137638.502,566302.803,1-0299-W0007A-A0002A
A5011,299-W7-5,GROUNDWATER WELL,,IN-USE,137635.688,566476.026,1-0299-W0007A-A0005A
A5012,299-W7-6,GROUNDWATER WELL,,CANDIDATE FOR DECOMMISSIONING,137636.314,566658.078,1-0299-W0007A-A0006A
A5016,299-W8-1,GROUNDWATER WELL,,IN-USE,137646.639,565749.422,1-0299-W0008A-A0001A
A4922,299-W15-18,GROUNDWATER WELL,,DECOMMISSIONED-V,135561.762,566308.661,1-0299-W0015A-A0018A
A4903,299-W11-14,GROUNDWATER WELL,,IN-USE,136913.962,567457.917,1-0299-W0011A-A0014A
A4907,299-W11-27,GROUNDWATER WELL,,DECOMMISSIONED-V,136796.56,566884.97,1-0299-W0011A-A0027A
