NAME,CP_scripts,TYPE_scripts,HSU_scripts,ANALYTE_scripts,Zone_SGW-38815,HSU_Assignment_ECF-200ZP1-22-0098,Final_Assignment,Determination_Based_On
299-W10-1,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W10-14,R,MONITORING,5_rlm,Carbon tetrachloride; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,LU,UU/MU,LU/CR,SGW-38815
299-W10-20,R,MONITORING,6_rwie,Iodine-129; Technetium-99; Tritium; Uranium,,,UU/MU,scripts
299-W10-200,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,manual
299-W10-201,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W10-201,PD,MONITORING,6_rwie,Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W10-201,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W10-202,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W10-202,PD,MONITORING,6_rwie,Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W10-202,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W10-203,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W10-203,PD,MONITORING,6_rwie,Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W10-203,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W10-204,C,CHARACTERIZATION,5_rlm,Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Tritium; Uranium,,,UU/MU,manual
299-W10-204,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,manual
299-W10-204,S,MONITORING,5_rlm,Iodine-129; Technetium-99; Tritium,,,UU/MU,manual
299-W10-205,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,manual
299-W10-205,PD,MONITORING,5_rlm,Hexavalent Chromium; Iodine-129; Technetium-99; Tritium,,,UU/MU,manual
299-W10-205,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,manual
299-W10-23,R,MONITORING,5_rlm,Technetium-99; Tritium,TU,UU/MU,UU/MU,SGW-38815
299-W10-24,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-26,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-27,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-28,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-29,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-30,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-31,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W10-33,R,MONITORING,4_rwia,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium,U,LU/CR,UU/MU,SGW-38815
299-W11-100,C,CHARACTERIZATION,4_rwia,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,scripts
299-W11-100,PD,MONITORING,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,scripts
299-W11-103,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,,decommissioned
299-W11-104,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,,decommissioned
299-W11-106,C,CHARACTERIZATION,5_rlm,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,manual
299-W11-106,PD,EXTRACTION,5_rlm,Carbon tetrachloride; Nitrate,,,UU/MU,manual
299-W11-107,C,CHARACTERIZATION,0_bslt,Chromium; Hexavalent Chromium; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,scripts
299-W11-107,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,scripts
299-W11-116,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,manual
299-W11-18,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Tritium,TU,UU/MU,UU/MU,SGW-38815
299-W11-33Q,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Tritium; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W11-39,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W11-40,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W11-41,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
