FID,NAME,EASTING,NORTHING,GWIA,HSU,TYPE_scripts,OU,INCLUDED
0,299-W14-14,566898.386,136181.048,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
1,699-48-77A,566413,137969,200-ZP,UU/MU,UNKNOWN,ZP-1,TRUE
2,699-48-77D,566433,138119,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
3,299-W6-11,567163,137635,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
4,299-W6-12,566916,137635,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
5,699-38-68A,569180,134932,200-UP,UU/MU,MONITORING,ZP-1,TRUE
6,699-35-66A,569857.861,134099.244,200-UP,UU/MU,MONITORING,ZP-1,TRUE
7,299-W14-16,567001.334,136318.482,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
8,299-W14-18,566897.47,136344.15,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
9,299-W15-42,566582,135627,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
10,299-W13-2P,568832.59,135819.18,200-UP,UU/MU,MONITORING,ZP-1,TRUE
11,299-W11-13,567099,136424,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
12,299-W10-26,566843.396,136400.594,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
13,299-W6-17,567767.41,137473.37,200-ZP,LU/CR,MONITORING,ZP-1,TRUE
14,299-W5-2P,568175.4,137621.12,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
15,299-W11-41,566935.51,136677.781,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
16,299-W19-36,567634.738,135017.052,200-UP,UU/MU,MONITORING,ZP-1,TRUE
17,299-W19-43,567699.15,135004.02,200-UP,UU/MU,MONITORING,UP-1,FALSE
18,299-W14-13,566902,136282,200-ZP,UU/MU,MONITORING,ZP-1,TRUE
19,699-36-70A,568466.679,134308.839,200-UP,UU/MU,MONITORING,ZP-1,TRUE
20,299-W18-21,566097.7,134978.692,200-UP,UU/MU,MONITORING,ZP-1,TRUE
21,699-38-68A,569180,134932,200-UP,UU/MU,MONITORING,ZP-1/UP-1 Potentially Remove,FALSE
22,299-W22-50,566904,134140,200-UP,UU/MU,MONITORING,UP-1,FALSE
23,299-W22-45,566945,134293,200-UP,UU/MU,MONITORING,UP-1,FALSE
24,299-W22-9,567740,134043,200-UP,UU/MU,MONITORING,UP-1,FALSE
25,299-W22-49,566904,134202,200-UP,UU/MU,MONITORING,UP-1,FALSE
26,299-W22-44,566956,134484,200-UP,UU/MU,MONITORING,UP-1,FALSE
27,699-35-70,568566,133988,200-UP,UU/MU,MONITORING,UP-1,FALSE
28,299-W19-18,567361,135012,200-UP,UU/MU,MONITORING,ZP-1,TRUE
