original,shapefile_field
ctet_uu_mu_mik_cv_score,ct_u_cv_s
ctet_uu_mu_mik_cov_score,ct_u_cov_s
ctet_uu_mu_mik_cv,ct_u_cv
ctet_uu_mu_mik_cov,ct_u_cov
ctet_lu_cr_mik_cv_score,ct_l_cv_s
ctet_lu_cr_mik_cov_score,ct_l_cov_s
ctet_lu_cr_mik_cv,ct_l_cv
ctet_lu_cr_mik_cov,ct_l_cov
hexcr_uu_mu_mik_cv_score,hc_u_cv_s
hexcr_uu_mu_mik_cov_score,hc_u_cov_s
hexcr_uu_mu_mik_cv,hc_u_cv
hexcr_uu_mu_mik_cov,hc_u_cov
hexcr_lu_cr_mik_cv_score,hc_l_cv_s
hexcr_lu_cr_mik_cov_score,hc_l_cov_s
hexcr_lu_cr_mik_cv,hc_l_cv
hexcr_lu_cr_mik_cov,hc_l_cov
tc99_uu_mu_mik_cv_score,tc_u_cv_s
tc99_uu_mu_mik_cov_score,tc_u_cov_s
tc99_uu_mu_mik_cv,tc_u_cv
tc99_uu_mu_mik_cov,tc_u_cov
tc99_lu_cr_mik_cv_score,tc_l_cv_s
tc99_lu_cr_mik_cov_score,tc_l_cov_s
tc99_lu_cr_mik_cv,tc_l_cv
tc99_lu_cr_mik_cov,tc_l_cov
ctet_uumu_tdg_s,ct_u_tdg_s
ctet_lucr_tdg_s,ct_l_tdg_s
hcr_uumu_tdg_s,hc_u_tdg_s
hcr_lucr_tdg_s,hc_l_tdg_s
tec_uumu_tdg_s,tc_u_tdg_s
tec_lucr_tdg_s,tc_l_tdg_s
hcr_uumu_persis_s,hc_u_p_s
hcr_lucr_persis_s,hc_l_p_s
tec_uumu_persis_s,tc_u_p_s
tec_lucr_persis_s,tc_l_p_s
ctet_uumu_persis_s,ct_u_p_s
ctet_lucr_persis_s,ct_l_p_s
