,row_left,column,delx,dely,area,node,newnode,noflow,pinched,Unnamed: 0,row_right,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING_left,EASTING_left,FID_left,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s,uumu_s_tot_cs,uumu_s_tot_mik,uumu_s_tot_cov,uumu_s_tot_excee,lucr_s_tot_cs,lucr_s_tot_mik,lucr_s_tot_cov,lucr_s_tot_excee,uumu_s_grandtotal,lucr_s_grandtotal,hcr_uumu_persis_s,hcr_lucr_persis_s,tec_uumu_persis_s,tec_lucr_persis_s,ctet_uumu_persis_s,ctet_lucr_persis_s,uumu_s_grandtotal_percentile,lucr_s_grandtotal_percentile,index_right,FID_right,NAME,EASTING_right,NORTHING_right,GWIA,HSU,TYPE_scripts,OU,INCLUDED
12659,47,56,100.0,100.0,10000.0,1,1,0,0,680,47,56,566450.0,138150.0,10470056,0,34.97540604479793,699-48-77D,0,1485.9296088644242,299-W11-50,2,535.2029819068739,299-W7-3,0,1709.2970606260988,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138150.0,566450.0,680,0,1,809.8765351,2.250797408,0,4,13169.70851,3.011678671,1,2,795.8240502,0.82975606,4,3,1108.239775,0.771184911,4,4,1881555.098,3.997336521,0.049380546,0.001743089,2.154935456,0.195731965,8.575210251,4.289451345,8.524733466,6.272708719,0.0,0.0,0.734513736,0.025077538,17.16444136,2.251713704,29.44693548,16.18883762,13.57460795,16.28715292,0.0,0,4.88128854,2.18309376,8.001801318,4.261776463,8.040881193,5.788905888,0.725414099,4.72089517,2.25,1.5,0,0.0,2692.0366835420505,0.5383651467335233,3.25,7.5,3.0,9.0,8.0,2.0,0,5,7,2.25,0,4,7.0,1.5,14.25,14.5,0.0,0.0,0.0,0,2.25,1.5,56.585365853658544,33.55534709193246,2,2,699-48-77D,566433.0,138119.0,200-ZP,UU/MU,MONITORING,ZP-1,True
13207,49,56,100.0,100.0,10000.0,1,1,0,0,844,49,56,566450.0,137950.0,10490056,0,138.10781193329677,699-48-77C,0,1300.2472082261845,299-W11-50,1,349.13984568079724,299-W7-3,0,1631.6932436781792,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,137950.0,566450.0,844,0,3,1176.451727,2.731013508,0,4,9387.854114,3.511496382,0,1,572.3000052,0.778530662,4,3,1108.239775,0.771184911,3,4,1185839.356,4.637107561,0.633432727,0.020378061,7.348896752,0.705929138,11.17906351,4.74851764,8.990284687,5.544484934,0.0,0.0,11.24752447,0.323612855,48.61823085,8.236974111,49.09693665,19.31591498,13.65619502,17.39952474,0.0,0,18.45584522,2.652367332,19.08438954,6.040198741,13.28385204,6.291519451,0.48053289,3.846940562,2.25,1.5,0,0.0,1608.289160215396,0.4554070402877986,5.25,6.5,1.0,8.0,7.0,1.0,0,3,8,2.25,0,4,7.0,1.5,13.25,13.5,0.0,0.0,0.0,0,2.25,1.5,49.13696060037524,25.82551594746717,1,1,699-48-77A,566413.0,137969.0,200-ZP,UU/MU,UNKNOWN,ZP-1,True
14034,52,61,100.0,100.0,10000.0,1,1,0,0,1095,52,61,566950.0,137650.0,10520061,0,37.5254638479074,299-W6-12,0,893.5081434995294,299-W11-50,1,368.9124909785424,299-W6-6,0,1066.1423176410408,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,137650.0,566950.0,1095,0,0,1498.303533,1.414038331,0,4,231.4953476,2.744143843,0,0,311.5857963,0.609030765,0,4,823.0660408,0.778862498,0,3,91240.81886,3.717965883,0.573864488,0.058261783,6.283729176,0.216113445,10.40615552,1.673309473,10.49873403,3.105585516,0.0,0.0,10.9851705,0.294477489,29.3893985,1.157462572,36.77661368,6.123815781,32.78197772,12.42226607,0.0,0,24.6154005,14.46219791,26.11531243,10.81973708,22.04335352,12.1474536,9.882432165,12.21702071,2.5,2.5,0,0.0,2474.681022101927,0.4803506098740572,2.5,7.5,0.0,5.0,3.0,1.0,0,0,3,2.5,0,0,8.0,2.5,5.5,11.5,0.0,0.0,0.0,0,2.5,2.5,6.5572232645403385,14.596622889305818,4,4,299-W6-12,566916.0,137635.0,200-ZP,UU/MU,MONITORING,ZP-1,True
14036,52,63,100.0,100.0,10000.0,1,1,0,0,1097,52,63,567150.0,137650.0,10520063,0,19.670558736301093,299-W6-11,0,853.2512784636923,299-W6-15,0,169.11660474358166,299-W6-6,0,872.8792822979641,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,137650.0,567150.0,1097,2,0,2582.114863,1.830124285,0,3,330.822619,2.481776206,0,1,523.823775,0.683139599,0,0,146.6982554,0.465066117,0,2,126239.2133,3.480139556,17.42477866,9.322555027,4.538103515,1.276489798,7.765572952,0.919485536,9.068602841,2.784177361,0.0,0.0,4.361710216,0.133998416,12.1799209,0.421644224,31.98698425,4.020610401,32.68021235,13.1165767,0.0,0,25.1547482,37.37350667,20.80759511,18.5564738,20.00828503,12.39735659,10.06145228,11.61831618,2.5,2.5,0,0.0,2955.095529811478,0.4118883828765053,4.5,5.5,1.0,0.0,2.0,0.0,0,2,3,2.5,0,0,3.0,2.5,7.5,5.5,0.0,0.0,0.0,0,2.5,2.5,12.598499061913698,3.386491557223265,3,3,299-W6-11,567163.0,137635.0,200-ZP,UU/MU,MONITORING,ZP-1,True
14046,52,73,100.0,100.0,10000.0,1,1,0,0,1107,52,73,568150.0,137650.0,10520073,0,38.46055641825079,299-W5-2P,0,374.7075352858528,299-W5-1,0,38.46055641825079,299-W5-2Q,1,297.005456961658,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,137650.0,568150.0,1107,4,0,7743.970724,1.325355365,4,0,28119.9084,0.585336847,1,0,712.8736583,0.523960274,0,0,822.4590327,0.278968952,0,1,250392.0158,2.932097874,129.2215518,109.850219,79.64160439,14.2170934,61.27520493,2.412934354,40.20453179,0.20475735,2.25,1.0,403.9574682,1.108528847,61.01105678,1.098896896,10.94474932,0.312125158,1.477472038,0.370779029,0.0,0,960.4610663,550.4749867,842.3547783,358.2886969,464.0625032,89.12660111,218.007756,5.325470178,2.5,2.5,0,0.0,4331.316717673322,0.2742222903199075,6.5,7.5,3.25,2.0,1.0,1.0,0,5,1,4.75,0,4,0.0,3.5,10.75,8.5,2.25,1.0,0.0,0,2.5,2.5,30.0656660412758,7.5046904315197,14,14,299-W5-2P,568175.4,137621.12,200-ZP,UU/MU,MONITORING,ZP-1,True
14590,54,69,100.0,100.0,10000.0,1,1,0,0,1267,54,69,567750.0,137450.0,10540069,2,458.52722318311504,299-W5-2P,0,374.9316527048548,299-W6-15,0,29.14215160211952,299-W6-17,1,241.7044506520352,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,137450.0,567750.0,1267,4,0,10198.15923,1.883790895,4,0,22442.49518,1.035586947,1,0,793.0757638,0.639638242,0,0,271.86711,0.576173168,0,1,261775.2035,2.911248064,286.6239913,8.239664093,61.2077271,6.556389076,23.05017778,6.525615797,11.01466997,2.619341448,1.75,0.0,35.83096513,21.47187429,37.81384571,24.15382652,30.18062892,21.34814171,12.53623632,6.139650009,0.0,0,1230.080416,1268.845773,275.9600934,324.4644578,107.4624429,32.13542189,32.71329746,4.191159992,2.5,2.5,0,0.0,3990.391276025675,0.3283562155316645,8.5,7.5,4.75,1.0,3.0,1.0,0,5,1,4.25,0,4,0.0,2.5,12.25,7.5,1.75,0.0,0.0,0,2.5,2.5,41.33208255159475,5.703564727954973,13,13,299-W6-17,567767.41,137473.37,200-ZP,LU/CR,MONITORING,ZP-1,True
16774,62,61,100.0,100.0,10000.0,1,1,0,0,1915,62,61,566950.0,136650.0,10620061,0,31.33279529501111,299-W11-41,2,107.87401216235348,299-W11-50,1,207.64073131252707,299-W11-48,0,627.5129322173269,299-W11-107,1,11.55932344657657,168.0,179.55932344657657,1.0,3.0,2,54.96933518982785,200.0,254.96933518982783,1.0,2.0,0,0,0,0,0,0,136650.0,566950.0,1915,3,0,4381.722661,0.807489523,0,0,8293.727501,0.643468297,0,0,637.1077918,0.578718945,0,4,874.7207024,0.833697696,4,0,12826001.14,1.049678937,101.280674,0.13393055,24.86592053,0.150932357,10.10892761,0.148824761,9.750620237,0.115337118,1.0,0.0,12061.30978,0.047278138,124.574821,0.106218368,47.49564581,0.133651026,33.03387959,0.168538202,1.0,0,1122.451262,147.6972808,525.5801021,97.10915886,105.9705177,64.40848344,6.136702782,30.15896235,2.5,2.5,0,3.0,1223.5430907179405,0.8405774665548784,7.5,3.5,4.0,6.0,9.0,6.0,3,7,0,4.5,3,0,7.0,2.5,16.5,13.5,2.0,1.0,3.0,2,2.5,2.5,74.44652908067543,25.82551594746717,15,15,299-W11-41,566935.51,136677.781,200-ZP,UU/MU,MONITORING,ZP-1,True
17321,64,60,100.0,100.0,10000.0,1,1,0,0,2078,64,60,566850.0,136450.0,10640060,0,10.196776206215924,299-W10-27,2,175.80440637252613,299-W14-20,1,397.4678267482699,299-W11-48,0,736.2136103740463,299-W11-107,1,46.25104525520475,158.0,204.2510452552048,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,136450.0,566850.0,2078,1,0,2146.118426,0.873416439,0,0,8887.712372,0.848840198,0,0,309.263258,0.569473275,0,4,957.2972439,0.808505147,4,0,11647486.11,1.184642748,118.2781179,0.004247378,11.71635959,0.022805209,13.5372637,0.031628998,10.20264778,0.024224163,1.0,0.0,1322.122354,0.001395487,61.30845437,0.003115406,61.2881144,0.0055948,31.11772589,0.014321231,1.0,0,627.1556455,3.866545296,262.0546286,3.8721989,37.82135847,3.797414822,3.347267708,4.13556014,2.25,2.5,0,2.0,952.5501419725464,0.8012367319321456,5.25,3.5,4.0,6.0,7.0,3.0,1,5,0,4.25,1,0,6.0,2.5,12.25,10.5,2.0,1.0,1.0,0,2.25,2.5,41.33208255159475,11.744840525328332,12,12,299-W10-26,566843.396,136400.594,200-ZP,UU/MU,MONITORING,ZP-1,True
17323,64,62,100.0,100.0,10000.0,1,1,0,0,2080,64,62,567050.0,136450.0,10640062,0,55.776257117176776,299-W11-13,1,217.2997682925766,299-W14-20,2,430.3401832271812,299-W11-48,0,540.7536223641889,299-W11-107,0,103.92572102186202,382.0,485.9257210218621,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,136450.0,567050.0,2080,4,0,7319.890719,1.062257262,0,0,13152.63278,0.783632615,0,0,483.0396568,0.568160025,4,4,1529.423334,0.816586771,4,0,10829840.58,1.204894074,121.3161771,14.42902431,37.75755024,7.974531097,12.24196323,4.310650195,10.78592939,1.353193603,1.0,0.0,2286.828442,-2.49e-06,375.6676663,-0.003124395,56.19988182,-0.003245129,33.64622312,0.001342674,1.0,0,969.1320134,682.8351681,439.6284603,459.8426491,92.96672702,303.6715916,7.405320983,134.0139018,2.5,2.5,0,3.0,2439.1877343257083,0.8914568929340491,7.5,4.5,2.0,10.0,6.0,5.0,0,8,0,4.5,0,4,7.0,2.5,13.5,15.5,1.0,0.0,1.0,0,2.5,2.5,50.62851782363978,42.21388367729831,11,11,299-W11-13,567099.0,136424.0,200-ZP,UU/MU,MONITORING,ZP-1,True
17595,65,60,100.0,100.0,10000.0,1,1,0,0,2160,65,60,566850.0,136350.0,10650060,0,47.82910620111373,299-W14-18,3,88.32434149200625,299-W14-20,2,497.2088829656921,299-W11-48,0,760.743373352663,299-W11-107,1,46.29689767350256,196.0,242.29689767350257,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,136350.0,566850.0,2160,0,0,1438.538238,0.72861279,0,0,9180.335039,0.959125143,0,0,176.3402007,0.473130728,0,4,982.5118803,0.80492183,4,0,12818053.23,0.791367856,81.97894493,0.006954901,10.83243627,0.027562393,10.862625,0.037420117,9.606292994,0.021549555,1.0,0.0,3076.691244,0.086667927,62.51182581,0.11202848,53.49840439,0.083406182,33.56911621,0.047580959,1.0,0,1171.088339,3.328929793,243.6382847,3.728500476,30.72987276,4.27849074,2.575178276,5.033886966,2.25,1.5,0,1.0,979.5232736469728,0.7935540594926239,5.25,3.5,5.0,7.0,8.0,3.0,1,4,0,4.25,1,0,5.0,1.5,12.25,9.5,2.0,1.0,1.0,0,2.25,1.5,41.33208255159475,9.409005628517825,8,8,299-W14-18,566897.47,136344.15,200-ZP,UU/MU,MONITORING,ZP-1,True
