,row_left,column,delx,dely,area,node,newnode,noflow,pinched,Unnamed: 0,row_right,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING_left,EASTING_left,FID_left,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s,uumu_s_tot_cs,uumu_s_tot_mik,uumu_s_tot_cov,uumu_s_tot_excee,lucr_s_tot_cs,lucr_s_tot_mik,lucr_s_tot_cov,lucr_s_tot_excee,uumu_s_grandtotal,lucr_s_grandtotal,hcr_uumu_persis_s,hcr_lucr_persis_s,tec_uumu_persis_s,tec_lucr_persis_s,ctet_uumu_persis_s,ctet_lucr_persis_s,uumu_s_grandtotal_percentile,lucr_s_grandtotal_percentile,index_right,FID_right,NAME,EASTING_right,NORTHING_right,GWIA,HSU,TYPE_scripts,OU,INCLUDED
12659,47,56,100.0,100.0,10000.0,1,1,0,0,680,47,56,566450.0,138150.0,10470056,0,0,2,0,0,0,0,138150.0,566450.0,680,0,1,0,4,1,2,4,3,4,4,0.0,0.0,0.0,0,2.25,1.5,0,0.0,3.25,7.5,3.0,9.0,8.0,2.0,0,5,7,2.25,0,4,7.0,1.5,14.25,14.5,0.0,0.0,0.0,0,2.25,1.5,56.585365853658544,33.55534709193246,2,2,699-48-77D,566433.0,138119.0,200-ZP,UU/MU,MONITORING,ZP-1,True
13207,49,56,100.0,100.0,10000.0,1,1,0,0,844,49,56,566450.0,137950.0,10490056,0,0,1,0,0,0,0,137950.0,566450.0,844,0,3,0,4,0,1,4,3,3,4,0.0,0.0,0.0,0,2.25,1.5,0,0.0,5.25,6.5,1.0,8.0,7.0,1.0,0,3,8,2.25,0,4,7.0,1.5,13.25,13.5,0.0,0.0,0.0,0,2.25,1.5,49.13696060037524,25.82551594746717,1,1,699-48-77A,566413.0,137969.0,200-ZP,UU/MU,UNKNOWN,ZP-1,True
14034,52,61,100.0,100.0,10000.0,1,1,0,0,1095,52,61,566950.0,137650.0,10520061,0,0,1,0,0,0,0,137650.0,566950.0,1095,0,0,0,4,0,0,0,4,0,3,0.0,0.0,0.0,0,2.5,2.5,0,0.0,2.5,7.5,0.0,5.0,3.0,1.0,0,0,3,2.5,0,0,8.0,2.5,5.5,11.5,0.0,0.0,0.0,0,2.5,2.5,6.5572232645403385,14.596622889305818,4,4,299-W6-12,566916.0,137635.0,200-ZP,UU/MU,MONITORING,ZP-1,True
14036,52,63,100.0,100.0,10000.0,1,1,0,0,1097,52,63,567150.0,137650.0,10520063,0,0,0,0,0,0,0,137650.0,567150.0,1097,2,0,0,3,0,1,0,0,0,2,0.0,0.0,0.0,0,2.5,2.5,0,0.0,4.5,5.5,1.0,0.0,2.0,0.0,0,2,3,2.5,0,0,3.0,2.5,7.5,5.5,0.0,0.0,0.0,0,2.5,2.5,12.598499061913698,3.386491557223265,3,3,299-W6-11,567163.0,137635.0,200-ZP,UU/MU,MONITORING,ZP-1,True
14046,52,73,100.0,100.0,10000.0,1,1,0,0,1107,52,73,568150.0,137650.0,10520073,0,0,0,1,0,0,0,137650.0,568150.0,1107,4,0,4,0,1,0,0,0,0,1,2.25,1.0,0.0,0,2.5,2.5,0,0.0,6.5,7.5,3.25,2.0,1.0,1.0,0,5,1,4.75,0,4,0.0,3.5,10.75,8.5,2.25,1.0,0.0,0,2.5,2.5,30.0656660412758,7.5046904315197,14,14,299-W5-2P,568175.4,137621.12,200-ZP,UU/MU,MONITORING,ZP-1,True
14590,54,69,100.0,100.0,10000.0,1,1,0,0,1267,54,69,567750.0,137450.0,10540069,2,0,0,1,0,0,0,137450.0,567750.0,1267,4,0,4,0,1,0,0,0,0,1,1.75,0.0,0.0,0,2.5,2.5,0,0.0,8.5,7.5,4.75,1.0,3.0,1.0,0,5,1,4.25,0,4,0.0,2.5,12.25,7.5,1.75,0.0,0.0,0,2.5,2.5,41.33208255159475,5.703564727954973,13,13,299-W6-17,567767.41,137473.37,200-ZP,LU/CR,MONITORING,ZP-1,True
16774,62,61,100.0,100.0,10000.0,1,1,0,0,1915,62,61,566950.0,136650.0,10620061,0,2,1,0,1,2,0,136650.0,566950.0,1915,3,0,0,0,0,0,0,4,4,0,1.0,0.0,1.0,0,2.5,2.5,0,3.0,7.5,3.5,4.0,6.0,9.0,6.0,3,7,0,4.5,3,0,7.0,2.5,16.5,13.5,2.0,1.0,3.0,2,2.5,2.5,74.44652908067543,25.82551594746717,15,15,299-W11-41,566935.51,136677.781,200-ZP,UU/MU,MONITORING,ZP-1,True
17321,64,60,100.0,100.0,10000.0,1,1,0,0,2078,64,60,566850.0,136450.0,10640060,0,2,1,0,1,0,0,136450.0,566850.0,2078,1,0,0,0,0,0,0,4,4,0,1.0,0.0,1.0,0,2.25,2.5,0,2.0,5.25,3.5,4.0,6.0,7.0,3.0,1,5,0,4.25,1,0,6.0,2.5,12.25,10.5,2.0,1.0,1.0,0,2.25,2.5,41.33208255159475,11.744840525328332,12,12,299-W10-26,566843.396,136400.594,200-ZP,UU/MU,MONITORING,ZP-1,True
17323,64,62,100.0,100.0,10000.0,1,1,0,0,2080,64,62,567050.0,136450.0,10640062,0,1,2,0,0,0,0,136450.0,567050.0,2080,4,0,0,0,0,0,4,4,4,0,1.0,0.0,1.0,0,2.5,2.5,0,3.0,7.5,4.5,2.0,10.0,6.0,5.0,0,8,0,4.5,0,4,7.0,2.5,13.5,15.5,1.0,0.0,1.0,0,2.5,2.5,50.62851782363978,42.21388367729831,11,11,299-W11-13,567099.0,136424.0,200-ZP,UU/MU,MONITORING,ZP-1,True
17595,65,60,100.0,100.0,10000.0,1,1,0,0,2160,65,60,566850.0,136350.0,10650060,0,3,2,0,1,0,0,136350.0,566850.0,2160,0,0,0,0,0,0,0,4,4,0,1.0,0.0,1.0,0,2.25,1.5,0,1.0,5.25,3.5,5.0,7.0,8.0,3.0,1,4,0,4.25,1,0,5.0,1.5,12.25,9.5,2.0,1.0,1.0,0,2.25,1.5,41.33208255159475,9.409005628517825,8,8,299-W14-18,566897.47,136344.15,200-ZP,UU/MU,MONITORING,ZP-1,True
