FID,Shape,row,col,Easting,Northing,MW_nearest,MW_Distance_m,Smw_fscore,EW_Nearest,EW_Distance_m,Sew_fscore,cr_nearest_di_m,cr_dist_cl_m,cr_comb_dist_m,cr_poly_count,cr_raw_score,cr_Spcs_fscore,tec99_nearest_di_m,tec99_dist_cl_m,tec99_comb_dist_m,tec99_poly_count,tec99_raw_score,tec99_Spcs_fscore,ctet_nearest_di_m,ctet_dist_cl_m,ctet_comb_dist_m,ctet_poly_count,ctet_raw_score,ctet_Spcs_fscore,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score
0,Point,39,32,564050,138950,699-49-79,1850.178026,4,299-W11-50,3649.035325,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,3,4054.090801,2.601807238,2,1,19413.03662,1.972617741,3,2,1225.075981,0.836068914,4,3,1108.239775,0.771184911,3,2,615457.6586,3.401143565,2,1,8768.104758,0.806590596,3.011588290277631e-61,2.111825170315685e-59,1.474935239041645e-54,7.085176546246779e-52,1.389352307885805e-15,9.099665581132793e-30,1.879750814719712e-13,3.8760077716045457e-26,0.0,0.0,1.537739771101983e-60,3.557074642922689e-58,8.815321595826081e-54,7.034057828362096e-51,3.774267688027932e-15,2.441271685197969e-29,5.117891154253268e-13,1.0705659166256924e-25,0.0,0.0,7.964383230186184e-48,-1.043836586597623e-67,1.4542849044303063e-43,-5.781643825971691e-39,5.433096605724587e-17,2.4825884372427104e-31,8.945269646710873e-15,2.1751065235423845e-26,0.0,0.0
1,Point,39,33,564150,138950,699-49-79,1757.536381,4,299-W11-50,3569.622501,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,4046.180393,2.600473933,2,1,19419.33684,1.974396985,3,2,1225.075981,0.836068914,4,3,1108.239775,0.771184911,3,2,615447.0189,3.400526906,2,1,8734.463407,0.805889985,6.531567229834469e-57,9.748713000944768e-57,1.5971165331265715e-51,1.2744485988446379e-49,1.312489087290817e-14,1.822699007676579e-28,1.499269281938276e-12,1.6959649833532732e-25,0.0,0.0,4.18543926333045e-56,1.3659370355930375e-55,1.241304401648446e-50,1.2519085922251072e-48,3.4975658587498674e-14,5.095236502654887e-28,4.072585921185441e-12,4.645190236960669e-25,0.0,0.0,1.6058690567625934e-43,-5.4898635207106196e-64,1.8709884673770407e-39,-7.3344753920021256e-37,4.548644579915434e-16,4.521892168974483e-29,7.998848423115324e-14,1.3270438433812543e-24,0.0,0.0
2,Point,39,34,564250,138950,699-49-79,1665.745938,4,299-W11-50,3491.267793,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,4032.12018,2.598912423,2,1,19440.72881,1.98056004,3,2,1225.072515,0.836068958,4,3,1108.239775,0.771184911,3,2,615465.5676,3.401192701,2,1,8688.577679,0.805048776,2.9064649638560823e-56,4.37144179676226e-54,2.1331030508378965e-49,2.7022221640062657e-47,2.3702806648476146e-18,4.4601085973915105e-28,2.1523048514008118e-12,5.139519484226219e-25,0.0,0.0,9.046673316066748e-60,5.55195639179068e-53,-9.717059210545571e-54,2.6296741701978555e-46,6.592371107226004e-18,1.2226681092271736e-27,5.841800137586239e-12,1.4439968734671943e-24,0.0,0.0,2.3585260638486863e-39,-3.151969324893925e-60,8.97121667208871e-36,-1.0502517025631002e-34,1.3288499373449432e-19,5.256051611814062e-27,1.1500683127776129e-13,9.336378554848847e-23,0.0,0.0
3,Point,39,35,564350,138950,699-49-79,1574.955532,4,299-W11-50,3414.044054,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,4010.056877,2.597712971,2,1,19494.85272,1.986566627,3,2,1224.672003,0.836074057,4,3,1108.239775,0.771184911,3,2,615538.6511,3.404842906,2,1,8628.918362,0.804131328,3.4444433720807334e-52,1.9891903793566983e-51,2.187918229293224e-45,6.381569377825472e-45,6.866527270052729e-18,1.3000319198462464e-27,2.8300673682946534e-12,1.535444446435246e-24,0.0,0.0,2.261250465414848e-53,2.370839271652219e-50,3.7733671772537744e-45,6.157034345573703e-44,1.9695403659897392e-17,3.3436937250858036e-27,7.685621286747636e-12,5.70802746863044e-24,0.0,0.0,1.8875371762052532e-35,-1.8925069289112721e-56,1.847838164639422e-32,-1.6509435742518394e-32,3.8261137724654015e-19,7.488965023683082e-25,1.5106497920696359e-13,7.015637877704564e-21,0.0,0.0
4,Point,39,36,564450,138950,699-49-79,1485.348555,4,299-W11-50,3338.029779,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3980.308729,2.596885415,2,1,19587.84384,1.990770521,3,2,1223.656985,0.836086725,4,3,1108.239775,0.771184911,3,2,615618.6583,3.41172269,2,1,8556.053315,0.80327021,4.1976206558487435e-46,9.05309190584232e-49,6.522627924007248e-42,1.5699477599089137e-42,5.161503776277411e-18,1.058519973578665e-26,3.75784909914553e-12,3.683203038686736e-23,0.0,0.0,2.5045382766878917e-45,1.0293801215983781e-47,4.3019341687796456e-41,1.5013014798219892e-41,2.124269128473376e-17,3.230737703268366e-26,1.031203502199729e-11,2.148688691127168e-22,0.0,0.0,6.397048802752414e-32,-1.1200230745758177e-52,2.792831685890145e-29,-2.764515798446204e-30,3.0578913025887806e-19,1.0991105208649207e-22,2.038794110899512e-13,5.393893048388714e-19,0.0,0.0
5,Point,39,37,564550,138950,699-49-79,1397.152722,4,299-W11-50,3263.309486,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3943.718269,2.596364835,3,2,19696.33739,1.995622822,3,2,1222.100859,0.836105443,4,3,1108.239775,0.771184911,3,2,612259.5724,3.418582209,2,1,8467.033233,0.802519002,1.2562889007230453e-44,3.964014840208601e-46,4.6036097760979465e-39,3.783278397159994e-40,6.894109079132316e-20,8.596052095364782e-26,8.144137684479448e-12,2.916127445886104e-21,0.0,0.0,3.603891177120415e-43,4.332482287863025e-45,9.394520669750698e-38,3.5783754645352714e-39,2.2184551781891053e-19,5.4385279545072185e-25,2.245374438443876e-11,1.7138039819307823e-20,0.0,0.0,9.35730848048634e-29,-6.151445985540442e-49,7.982382185529554e-26,-4.806691346533812e-28,1.3062118412342236e-17,1.6127171392594866e-20,8.052203220682702e-13,4.09299485386475e-17,0.0,0.0
6,Point,39,38,564650,138950,699-49-79,1310.65294,4,299-W11-50,3189.974107,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3898.959536,2.595771933,3,2,19813.22674,2.001042209,3,2,1220.078598,0.836128556,4,3,1108.239775,0.771184911,3,2,603849.8868,3.424227756,2,1,8359.944675,0.801724253,7.076484744376023e-42,1.5534765552734212e-43,2.8484233764557047e-35,8.516253527961004e-38,1.377422213415494e-13,1.0701952785488861e-23,4.638645524459105e-12,2.357037693848452e-19,0.0,0.0,2.6310691549125613e-42,1.633177782222083e-42,3.327203068360661e-34,7.929039579339694e-37,3.316189679190556e-13,7.402409841158442e-23,1.2770392540066432e-11,1.3656188913966984e-18,0.0,0.0,3.930683507818917e-27,-2.842971917515604e-45,1.0882429559333585e-22,-8.505265477146706e-26,4.337466601606585e-13,2.3169109769511507e-18,2.1376580684807925e-11,2.9785687693834465e-15,0.0,0.0
7,Point,39,39,564750,138950,699-49-79,1226.208191,4,299-W11-50,3118.121358,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3835.416596,2.593348519,3,2,19928.04506,2.006711969,3,2,1217.825708,0.836401268,4,3,1108.239775,0.771184911,2,2,591039.2183,3.428446345,1,1,8227.417214,0.800641175,3.695372924934572e-37,4.3893016891430675e-41,2.8010472474967595e-32,1.7380496611502593e-35,2.2072868906988877e-13,1.5569499337281298e-21,6.79810766388431e-13,1.8190809204594725e-17,0.0,0.0,2.447189792887193e-36,4.375398426631453e-40,3.058141950086429e-31,1.5819014422037343e-34,6.047308536528779e-13,1.0643421707569735e-20,1.870747943482397e-12,1.0377025664570997e-16,0.0,0.0,6.564485739070481e-25,-8.669387383575897e-42,5.505584435111156e-20,-1.4718511696413115e-23,2.4710826907212085e-11,3.1701033424280554e-16,7.614591055955501e-10,2.0093332780495626e-13,0.0,0.0
8,Point,39,40,564850,138950,699-49-79,1144.273538,4,299-W11-50,3047.856099,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3753.501162,2.58874266,3,2,20031.59638,2.012217446,3,2,1215.529407,0.837133651,4,3,1108.239775,0.771184911,2,2,574515.4776,3.430482135,1,1,8062.96048,0.799011348,1.9370956798542424e-34,6.128825409126026e-40,1.416983876962895e-29,3.2505437686277306e-33,7.290913269924348e-15,2.111391069028872e-19,4.045308228954489e-13,1.2936707579038022e-15,0.0,0.0,3.2705582162813956e-33,2.8661247746567912e-39,1.599233378893823e-28,2.898630901013136e-32,2.28211152907301e-14,1.4268414909620516e-18,2.585006811344442e-12,7.254228422891945e-15,0.0,0.0,1.297523197481581e-18,-2.3738045756581374e-39,9.090992274151613e-17,1.2555778737781768e-21,1.179356414152733e-09,3.942664040481038e-14,2.499004245550908e-08,1.1966896719618816e-11,0.0,0.0
9,Point,39,41,564950,138950,699-49-79,1065.428237,4,299-W11-50,2979.290654,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3654.007706,2.581558019,3,2,20124.35596,2.017536846,3,2,1212.83702,0.83836259,4,3,1108.239775,0.771184911,2,2,555043.3878,3.430350224,1,1,7867.808131,0.796712827,5.850970735406841e-35,6.160222821462215e-46,4.9015207545604776e-27,5.740541403792611e-31,3.680519646091312e-14,2.2501863027168425e-17,2.9508234624401446e-11,7.584895319178302e-14,0.0,0.0,2.97574002639966e-34,4.8221175254555243e-45,6.054772633218756e-26,5.2555151401069494e-30,2.8808187071756737e-13,1.502221347489704e-16,1.8450056279233567e-10,4.174789076909291e-13,0.0,0.0,1.968961121488271e-16,6.486018192747878e-35,9.062569330985621e-14,4.40864307977482e-18,5.426178880256125e-08,3.72755689883533e-12,9.922617690679902e-07,5.59265975590116e-10,0.0,0.0
