,row,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING,EASTING
0,39,32,564050.0,138950.0,10390032,4,1850.1780262431678,699-49-79,0,3649.0353249180866,299-W11-50,4,1965.9783097097115,699-47-80AP,0,4230.329211948527,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564050.0
1,39,33,564150.0,138950.0,10390033,4,1757.5363805034192,699-49-79,0,3569.6225013998387,299-W11-50,4,1890.149283588218,699-47-80AP,0,4137.428505903763,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564150.0
2,39,34,564250.0,138950.0,10390034,4,1665.7459376486725,699-49-79,0,3491.267793008729,299-W11-50,4,1816.6611996321858,699-47-80AP,0,4044.8663811632946,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564250.0
3,39,35,564350.0,138950.0,10390035,4,1574.955532322437,699-49-79,0,3414.0440539776337,299-W11-50,4,1745.8097016138531,699-47-80AP,0,3952.666624124155,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564350.0
4,39,36,564450.0,138950.0,10390036,4,1485.3485546473753,699-49-79,0,3338.0297785520174,299-W11-50,4,1677.9288168003582,699-47-80AP,0,3860.8551956095225,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564450.0
5,39,37,564550.0,138950.0,10390037,4,1397.1527220719438,699-49-79,0,3263.3094861658506,299-W11-50,4,1613.3935397940108,699-47-80AP,0,3769.460470871799,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564550.0
6,39,38,564650.0,138950.0,10390038,4,1310.652939871207,699-49-79,0,3189.9741068698386,299-W11-50,4,1552.621110976225,699-47-80AP,0,3678.5135097570383,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564650.0
7,39,39,564750.0,138950.0,10390039,4,1226.2081914556898,699-49-79,0,3118.1213578852285,299-W11-50,4,1496.0701568606487,699-47-80AP,0,3588.0483610822535,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564750.0
8,39,40,564850.0,138950.0,10390040,4,1144.273537574399,699-49-79,0,3047.856099375431,299-W11-50,4,1444.2366545165112,699-47-80AP,0,3498.102405800185,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564850.0
9,39,41,564950.0,138950.0,10390041,4,1065.4282372797452,699-49-79,0,2979.2906542497685,299-W11-50,4,1397.6455610236249,699-47-80AP,0,3408.7167440937424,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564950.0
10,39,42,565050.0,138950.0,10390042,4,990.4103840292775,699-49-79,0,2912.5450730417906,299-W11-50,4,1356.837025677381,699-47-80AP,0,3319.9366321460175,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565050.0
11,39,43,565150.0,138950.0,10390043,4,920.1565784109879,699-49-79,0,2847.747320690515,299-W11-50,4,1322.3465182201828,699-47-80AP,0,3231.8119749553875,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565150.0
12,39,44,565250.0,138950.0,10390044,4,855.8408314593387,699-49-79,0,2785.033357520158,299-W11-50,4,1294.6790777057608,699-47-80AP,0,3144.3978821811083,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565250.0
13,39,45,565350.0,138950.0,10390045,3,798.8985722812427,699-49-79,0,2724.5470820853875,299-W11-50,4,1274.279213614127,699-47-80AP,0,3057.7552945690472,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565350.0
14,39,46,565450.0,138950.0,10390046,3,751.0088739775341,699-49-79,0,2666.440099177177,299-W11-50,4,1261.4995498409965,699-47-80AP,0,2971.9516889520664,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565450.0
15,39,47,565550.0,138950.0,10390047,3,713.9956083849531,699-49-79,0,2610.87127267891,299-W11-50,4,1256.5726060395536,699-47-80AP,0,2887.0618700445334,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565550.0
16,39,48,565650.0,138950.0,10390048,3,689.6123032494381,699-49-79,0,2558.0060208099567,299-W11-50,4,1259.5905343598904,699-47-80AP,0,2803.1688571088685,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565650.0
17,39,49,565750.0,138950.0,10390049,3,679.2205303088172,699-49-79,0,2508.015311456448,299-W11-50,4,1228.8537649256737,699-51-75P,0,2720.364872855301,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565750.0
18,39,50,565850.0,138950.0,10390050,3,683.4587981678095,699-49-79,0,2461.074318768123,299-W11-50,4,1128.922661466233,699-51-75P,0,2638.7524403522657,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565850.0
19,39,51,565950.0,138950.0,10390051,3,702.062197239662,699-49-79,0,2417.3607100513523,299-W11-50,4,1029.0049443865673,699-51-75P,0,2558.445590874474,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,565950.0
20,39,52,566050.0,138950.0,10390052,3,733.9391860317706,699-49-79,0,2377.052545170168,299-W11-50,4,929.1049324871773,699-51-75P,0,2479.5711809635627,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566050.0
21,39,53,566150.0,138950.0,10390053,3,777.4587634035478,699-49-79,0,2340.3257898207185,299-W11-50,4,829.2290248007496,699-51-75P,0,2402.2703098246534,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566150.0
22,39,54,566250.0,138950.0,10390054,3,729.3871232562321,699-51-75,0,2307.351469217459,299-W11-50,3,729.3871232562321,699-51-75P,0,2326.6998176526845,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566250.0
23,39,55,566350.0,138950.0,10390055,3,629.5954062507142,699-51-75,0,2278.2925190808933,299-W11-50,3,629.5954062507142,699-51-75P,0,2253.0338305194255,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566350.0
24,39,56,566450.0,138950.0,10390056,2,529.8822280205306,699-51-75,0,2253.3004243775304,299-W11-50,2,529.8822280205306,699-51-75P,0,2181.4652968738774,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566450.0
25,39,57,566550.0,138950.0,10390057,2,430.3021909914025,699-51-75,0,2232.511769845784,299-W11-50,2,430.3021909914025,699-51-75P,0,2090.4627520479885,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566550.0
26,39,58,566650.0,138950.0,10390058,1,330.9754908932099,699-51-75,0,2188.849411037648,299-W6-15,1,330.9754908932099,699-51-75P,0,1997.4249717323669,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566650.0
27,39,59,566750.0,138950.0,10390059,1,232.22742209308757,699-51-75,0,2138.860384457076,299-W6-15,1,232.22742209308757,699-51-75P,0,1905.0927845383394,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566750.0
28,39,60,566850.0,138950.0,10390060,0,135.33061579702084,699-51-75,0,2092.4592574766857,299-W6-15,0,135.33061579702084,699-51-75P,0,1813.5739625667438,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566850.0
29,39,61,566950.0,138950.0,10390061,0,51.953590559273984,699-51-75,0,2049.8896907394537,299-W6-15,0,51.953590559273984,699-51-75P,0,1722.9981188904526,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,566950.0
30,39,62,567050.0,138950.0,10390062,0,84.1663565327649,699-51-75,0,2011.3949746879416,299-W6-15,0,84.1663565327649,699-51-75P,0,1633.5221203583487,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,567050.0
31,39,63,567150.0,138950.0,10390063,0,177.39440682276404,699-51-75,0,1977.2131256391954,299-W6-15,0,177.39440682276404,699-51-75P,0,1545.3370239853934,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,567150.0
