,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
0,0,39,32,564050.0,138950.0,10390032,4,1850.178026243168,699-49-79,0,3649.035324918087,299-W11-50,4,1965.9783097097115,699-47-80AP,0,4230.329211948527,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564050.0,0,3,3,4054.090801,2.601807238,2,1,19413.03662,1.972617741,3,2,1225.075981,0.836068914,4,3,1108.239775,0.771184911,3,2,615457.6586,3.401143565,2,1,8768.104758,0.806590596,3.0099999999999998e-61,2.1100000000000003e-59,1.47e-54,7.09e-52,1.39e-15,9.1e-30,1.88e-13,3.88e-26,0.0,0.0,1.54e-60,3.56e-58,8.819999999999999e-54,7.03e-51,3.77e-15,2.4400000000000002e-29,5.12e-13,1.07e-25,0.0,0,7.96e-48,-1.04e-67,1.45e-43,-5.78e-39,5.43e-17,2.48e-31,8.95e-15,2.18e-26,0.0,0.0,10.0,7.0,9.0,11.0,9.0,7
1,1,39,33,564150.0,138950.0,10390033,4,1757.5363805034192,699-49-79,0,3569.6225013998387,299-W11-50,4,1890.149283588218,699-47-80AP,0,4137.428505903763,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564150.0,1,3,2,4046.180393,2.600473933,2,1,19419.33684,1.974396985,3,2,1225.075981,0.836068914,4,3,1108.239775,0.771184911,3,2,615447.0189,3.400526906,2,1,8734.463407,0.805889985,6.53e-57,9.75e-57,1.6e-51,1.27e-49,1.31e-14,1.82e-28,1.5e-12,1.7e-25,0.0,0.0,4.19e-56,1.37e-55,1.24e-50,1.25e-48,3.5e-14,5.1e-28,4.07e-12,4.65e-25,0.0,0,1.61e-43,-5.49e-64,1.87e-39,-7.33e-37,4.55e-16,4.5200000000000004e-29,8e-14,1.3299999999999999e-24,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
2,2,39,34,564250.0,138950.0,10390034,4,1665.7459376486725,699-49-79,0,3491.267793008729,299-W11-50,4,1816.6611996321856,699-47-80AP,0,4044.866381163295,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564250.0,2,3,2,4032.12018,2.598912423,2,1,19440.72881,1.98056004,3,2,1225.072515,0.836068958,4,3,1108.239775,0.771184911,3,2,615465.5676,3.401192701,2,1,8688.577679,0.805048776,2.91e-56,4.3699999999999995e-54,2.13e-49,2.7000000000000003e-47,2.37e-18,4.46e-28,2.15e-12,5.14e-25,0.0,0.0,9.049999999999999e-60,5.55e-53,-9.719999999999999e-54,2.63e-46,6.59e-18,1.2200000000000002e-27,5.84e-12,1.44e-24,0.0,0,2.36e-39,-3.15e-60,8.97e-36,-1.05e-34,1.33e-19,5.2600000000000005e-27,1.15e-13,9.339999999999999e-23,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
3,3,39,35,564350.0,138950.0,10390035,4,1574.955532322437,699-49-79,0,3414.0440539776337,299-W11-50,4,1745.8097016138531,699-47-80AP,0,3952.666624124155,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564350.0,3,3,2,4010.056877,2.597712971,2,1,19494.85272,1.986566627,3,2,1224.672003,0.836074057,4,3,1108.239775,0.771184911,3,2,615538.6511,3.404842906,2,1,8628.918362,0.804131328,3.44e-52,1.99e-51,2.19e-45,6.38e-45,6.87e-18,1.3e-27,2.83e-12,1.5399999999999999e-24,0.0,0.0,2.26e-53,2.37e-50,3.77e-45,6.16e-44,1.97e-17,3.34e-27,7.69e-12,5.7099999999999996e-24,0.0,0,1.89e-35,-1.89e-56,1.85e-32,-1.65e-32,3.83e-19,7.49e-25,1.51e-13,7.02e-21,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
4,4,39,36,564450.0,138950.0,10390036,4,1485.3485546473753,699-49-79,0,3338.029778552017,299-W11-50,4,1677.9288168003582,699-47-80AP,0,3860.8551956095225,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564450.0,4,3,2,3980.308729,2.596885415,2,1,19587.84384,1.990770521,3,2,1223.656985,0.836086725,4,3,1108.239775,0.771184911,3,2,615618.6583,3.41172269,2,1,8556.053315,0.80327021,4.2e-46,9.05e-49,6.519999999999999e-42,1.57e-42,5.16e-18,1.06e-26,3.76e-12,3.6799999999999996e-23,0.0,0.0,2.5e-45,1.0300000000000001e-47,4.3e-41,1.5e-41,2.12e-17,3.23e-26,1.03e-11,2.15e-22,0.0,0,6.4e-32,-1.12e-52,2.79e-29,-2.7599999999999998e-30,3.06e-19,1.1e-22,2.04e-13,5.39e-19,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
5,5,39,37,564550.0,138950.0,10390037,4,1397.1527220719438,699-49-79,0,3263.3094861658506,299-W11-50,4,1613.3935397940108,699-47-80AP,0,3769.460470871799,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564550.0,5,3,2,3943.718269,2.596364835,3,2,19696.33739,1.995622822,3,2,1222.100859,0.836105443,4,3,1108.239775,0.771184911,3,2,612259.5724,3.418582209,2,1,8467.033233,0.802519002,1.26e-44,3.96e-46,4.6e-39,3.78e-40,6.89e-20,8.600000000000001e-26,8.14e-12,2.92e-21,0.0,0.0,3.6e-43,4.33e-45,9.39e-38,3.58e-39,2.22e-19,5.44e-25,2.25e-11,1.71e-20,0.0,0,9.360000000000001e-29,-6.15e-49,7.98e-26,-4.81e-28,1.31e-17,1.61e-20,8.05e-13,4.09e-17,0.0,0.0,9.0,9.0,9.0,11.0,9.0,7
6,6,39,38,564650.0,138950.0,10390038,4,1310.652939871207,699-49-79,0,3189.9741068698386,299-W11-50,4,1552.621110976225,699-47-80AP,0,3678.5135097570383,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564650.0,6,3,2,3898.959536,2.595771933,3,2,19813.22674,2.001042209,3,2,1220.078598,0.836128556,4,3,1108.239775,0.771184911,3,2,603849.8868,3.424227756,2,1,8359.944675,0.801724253,7.08e-42,1.5500000000000002e-43,2.85e-35,8.52e-38,1.38e-13,1.0699999999999998e-23,4.64e-12,2.36e-19,0.0,0.0,2.6299999999999996e-42,1.6299999999999997e-42,3.3299999999999997e-34,7.93e-37,3.32e-13,7.399999999999999e-23,1.28e-11,1.37e-18,0.0,0,3.9300000000000005e-27,-2.84e-45,1.09e-22,-8.51e-26,4.34e-13,2.32e-18,2.14e-11,2.98e-15,0.0,0.0,9.0,9.0,9.0,11.0,9.0,7
7,7,39,39,564750.0,138950.0,10390039,4,1226.2081914556898,699-49-79,0,3118.1213578852285,299-W11-50,4,1496.0701568606487,699-47-80AP,0,3588.048361082253,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564750.0,7,3,2,3835.416596,2.593348519,3,2,19928.04506,2.006711969,3,2,1217.825708,0.836401268,4,3,1108.239775,0.771184911,2,2,591039.2183,3.428446345,1,1,8227.417214,0.800641175,3.7e-37,4.39e-41,2.8e-32,1.74e-35,2.21e-13,1.5600000000000002e-21,6.8e-13,1.82e-17,0.0,0.0,2.4500000000000002e-36,4.3799999999999995e-40,3.06e-31,1.58e-34,6.05e-13,1.06e-20,1.87e-12,1.04e-16,0.0,0,6.56e-25,-8.67e-42,5.51e-20,-1.47e-23,2.47e-11,3.17e-16,7.61e-10,2.01e-13,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
8,8,39,40,564850.0,138950.0,10390040,4,1144.273537574399,699-49-79,0,3047.856099375431,299-W11-50,4,1444.2366545165112,699-47-80AP,0,3498.102405800185,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564850.0,8,3,2,3753.501162,2.58874266,3,2,20031.59638,2.012217446,3,2,1215.529407,0.837133651,4,3,1108.239775,0.771184911,2,2,574515.4776,3.430482135,1,1,8062.96048,0.799011348,1.9399999999999997e-34,6.13e-40,1.42e-29,3.2500000000000004e-33,7.29e-15,2.11e-19,4.05e-13,1.29e-15,0.0,0.0,3.27e-33,2.87e-39,1.6e-28,2.9e-32,2.28e-14,1.43e-18,2.59e-12,7.25e-15,0.0,0,1.3e-18,-2.37e-39,9.09e-17,1.2600000000000002e-21,1.18e-09,3.94e-14,2.5e-08,1.2e-11,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
9,9,39,41,564950.0,138950.0,10390041,4,1065.4282372797452,699-49-79,0,2979.2906542497685,299-W11-50,4,1397.6455610236249,699-47-80AP,0,3408.7167440937424,699-40-70A,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,564950.0,9,3,2,3654.007706,2.581558019,3,2,20124.35596,2.017536846,3,2,1212.83702,0.83836259,4,3,1108.239775,0.771184911,2,2,555043.3878,3.430350224,1,1,7867.808131,0.796712827,5.85e-35,6.16e-46,4.9000000000000005e-27,5.74e-31,3.68e-14,2.25e-17,2.95e-11,7.58e-14,0.0,0.0,2.98e-34,4.82e-45,6.05e-26,5.26e-30,2.88e-13,1.5e-16,1.85e-10,4.17e-13,0.0,0,1.97e-16,6.490000000000001e-35,9.06e-14,4.41e-18,5.43e-08,3.73e-12,9.92e-07,5.59e-10,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
