row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
39,32,0,Point,564050,138950,10390032,3,3,2,1,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,3,2.0
39,33,1,Point,564150,138950,10390033,3,2,2,1,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,3,2.0
39,34,2,Point,564250,138950,10390034,3,2,2,1,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
39,35,3,Point,564350,138950,10390035,3,2,2,1,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
39,36,4,Point,564450,138950,10390036,3,2,2,1,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
39,37,5,Point,564550,138950,10390037,3,2,3,2,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
39,38,6,Point,564650,138950,10390038,3,2,3,2,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
39,39,7,Point,564750,138950,10390039,3,2,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
39,40,8,Point,564850,138950,10390040,3,2,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
39,41,9,Point,564950,138950,10390041,3,2,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
