,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
0,0,39,32,564050.0,138950.0,10390032,4,0,4,0,0,0,0,138950.0,564050.0,0,3,3,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,10.0,7.0,9.0,11.0,9.0,7
1,1,39,33,564150.0,138950.0,10390033,4,0,4,0,0,0,0,138950.0,564150.0,1,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
2,2,39,34,564250.0,138950.0,10390034,4,0,4,0,0,0,0,138950.0,564250.0,2,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
3,3,39,35,564350.0,138950.0,10390035,4,0,4,0,0,0,0,138950.0,564350.0,3,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
4,4,39,36,564450.0,138950.0,10390036,4,0,4,0,0,0,0,138950.0,564450.0,4,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
5,5,39,37,564550.0,138950.0,10390037,4,0,4,0,0,0,0,138950.0,564550.0,5,3,2,3,2,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,9.0,7
6,6,39,38,564650.0,138950.0,10390038,4,0,4,0,0,0,0,138950.0,564650.0,6,3,2,3,2,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,9.0,7
7,7,39,39,564750.0,138950.0,10390039,4,0,4,0,0,0,0,138950.0,564750.0,7,3,2,3,2,3,2,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
8,8,39,40,564850.0,138950.0,10390040,4,0,4,0,0,0,0,138950.0,564850.0,8,3,2,3,2,3,2,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
9,9,39,41,564950.0,138950.0,10390041,4,0,4,0,0,0,0,138950.0,564950.0,9,3,2,3,2,3,2,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
10,10,39,42,565050.0,138950.0,10390042,4,0,4,0,0,0,0,138950.0,565050.0,10,3,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,10.0,11.0,8.0,6
11,11,39,43,565150.0,138950.0,10390043,4,0,4,0,0,0,0,138950.0,565150.0,11,2,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,8.0,9.0,10.0,11.0,8.0,6
12,12,39,44,565250.0,138950.0,10390044,4,0,4,0,0,0,0,138950.0,565250.0,12,2,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,8.0,9.0,10.0,11.0,8.0,6
13,13,39,45,565350.0,138950.0,10390045,3,0,4,0,0,0,0,138950.0,565350.0,13,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
14,14,39,46,565450.0,138950.0,10390046,3,0,4,0,0,0,0,138950.0,565450.0,14,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
15,15,39,47,565550.0,138950.0,10390047,3,0,4,0,0,0,0,138950.0,565550.0,15,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
16,16,39,48,565650.0,138950.0,10390048,3,0,4,0,0,0,0,138950.0,565650.0,16,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
17,17,39,49,565750.0,138950.0,10390049,3,0,4,0,0,0,0,138950.0,565750.0,17,2,1,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,6.0,10.0,9.0,11.0,6.0,6
18,18,39,50,565850.0,138950.0,10390050,3,0,4,0,0,0,0,138950.0,565850.0,18,1,1,3,2,3,3,4,3,1,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,9.0,11.0,6.0,5
19,19,39,51,565950.0,138950.0,10390051,3,0,4,0,0,0,0,138950.0,565950.0,19,1,1,3,2,3,3,4,3,1,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,9.0,11.0,6.0,5
20,20,39,52,566050.0,138950.0,10390052,3,0,4,0,0,0,0,138950.0,566050.0,20,1,1,3,2,3,3,4,3,1,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,9.0,11.0,6.0,5
21,21,39,53,566150.0,138950.0,10390053,3,0,4,0,0,0,0,138950.0,566150.0,21,1,1,3,2,3,3,4,3,1,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,9.0,11.0,6.0,5
22,22,39,54,566250.0,138950.0,10390054,3,0,3,0,0,0,0,138950.0,566250.0,22,1,1,3,2,3,3,4,3,1,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,9.0,10.0,6.0,4
23,23,39,55,566350.0,138950.0,10390055,3,0,3,0,0,0,0,138950.0,566350.0,23,1,1,3,2,2,3,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,8.0,10.0,7.0,4
