Time	CTET_MassRemoved
31	252.9067723
59	207.0214864
90	242.0203404
120	214.4347311
151	222.3546126
181	225.4499579
212	243.8312063
243	222.3367659
273	204.7727497
304	197.2602809
334	179.6697184
365	188.0114021
396	163.1522023
425	171.9358136
456	175.7416596
486	79.49443353
517	90.99292915
547	70.51953658
578	136.0430308
609	150.5073297
639	204.810306
670	95.76003225
700	150.4083615
731	173.2850573
762	166.5888933
790	135.0574247
821	109.385333
851	83.03166
882	152.934486
912	152.1972496
943	183.3909519
974	123.0140749
1004	195.9357905
1035	204.8398692
1065	199.3664734
1096	203.7601966
1127	207.9818308
1155	185.5639585
1186	187.3726355
1216	188.0793098
1247	200.4620322
1277	190.3292888
1308	172.9091671
1339	172.6693316
1369	153.7558293
1400	187.572239
1430	193.4696641
1461	193.9686039
1492	173.8426266
1520	138.6146395
1551	147.740258
1581	142.8038755
1612	174.8560711
1642	158.4244659
1673	171.2652456
1704	137.1606778
1734	142.674212
1765	136.7653573
1795	155.537631
1826	176.7044339
